Number,Location,Site,Sitename,Sitenumber,Habitat,Date,Depth,Dimension,Loc_abbrev,ID_number,ID,Family,Genus,Species,Tax,SL,TL,W,Full_ID,Lat,Long,Notes,Genspe,MaxSizeTL,Diet,Schooling,Movimentation,sstmean
28,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,28,UAE18028,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,11.1,13.6,0.023,UAE18028_ENNEVENT_11.1,24.599,54.4215,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
29,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,29,UAE18029,Gobiidae,Coryogalops,anomalus,CORYANOM,10.9,12.8,0.024,UAE18029_CORYANOM_10.9,24.599,54.4215,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
30,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,30,UAE18030,Gobiidae,Coryogalops,anomalus,CORYANOM,9.3,10.3,0.011,UAE18030_CORYANOM_9.3,24.599,54.4215,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
31,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,31,UAE18031,Gobiidae,Coryogalops,anomalus,CORYANOM,8.1,10.5,0.009,UAE18031_CORYANOM_8.1,24.599,54.4215,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
32,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,32,UAE18032,Gobiidae,Coryogalops,anomalus,CORYANOM,17.3,21.2,0.088,UAE18032_CORYANOM_17.3,24.599,54.4215,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
33,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,33,UAE18033,Gobiidae,Coryogalops,anomalus,CORYANOM,26.1,31.8,0.39,UAE18033_CORYANOM_26.1,24.599,54.4215,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
34,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,34,UAE18034,Gobiidae,Coryogalops,anomalus,CORYANOM,23.9,29.2,0.273,UAE18034_CORYANOM_23.9,24.599,54.4215,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
35,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,35,UAE18035,Gobiidae,Coryogalops,anomalus,CORYANOM,25.1,30.8,0.296,UAE18035_CORYANOM_25.1,24.599,54.4215,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
36,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,36,UAE18036,Gobiidae,Coryogalops,anomalus,CORYANOM,27.7,33.6,0.456,UAE18036_CORYANOM_27.7,24.599,54.4215,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
37,AG,Saadiyat,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,37,UAE18037,Pomacanthidae,Pomacanthus,maculosus,POMAMACU,67.3,85,17.6,UAE18037_POMAMACU_67.3,24.599,54.4215,Voucher,Pom. maculosus,50,Omnivr,Pairng,BnthDw,27.85
38,AG,Saadiyat,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,38,UAE18038,Serranidae,Cephalopholis,hemistiktos,CEPHHEMI,101,124.1,30.34,UAE18038_CEPHHEMI_101,24.59819,54.42298,Voucher,Cep. hemistiktos,35,FisCep,Pairng,BnthDw,27.85
39,AG,Saadiyat,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,39,UAE18039,Batrachoididae,Colletteichthys,occidentalis,COLLOCCI,65.6,76,7.87,UAE18039_COLLOCCI_65.6,24.59819,54.42298,Comm,Col. occidentalis,14.8,InvMob,Solitr,BnthDw,27.85
40,AG,Saadiyat,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,40,UAE18040,Batrachoididae,Colletteichthys,occidentalis,COLLOCCI,60.2,70.2,6.4,UAE18040_COLLOCCI_60.2,24.59819,54.42298,Comm,Col. occidentalis,14.8,InvMob,Solitr,BnthDw,27.85
41,AG,Saadiyat,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,41,UAE18041,Apogonidae,Apogonichthyoides,taeniatus,APOGTAEN,71.7,90.7,13.809,UAE18041_APOGTAEN_71.7,24.59819,54.42298,Comm,Apo. taeniatus,17,InvMob,Solitr,BnthDw,27.85
42,AG,Saadiyat,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,42,UAE18042,Pomacentridae,Pomacentrus,trichrourus,POMATRIC,44.8,57.2,4.16,UAE18042_POMATRIC_44.8,24.59819,54.42298,Comm,Pom. trichrourus,11,Omnivr,Solitr,BnthDw,27.85
43,AG,Saadiyat,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,43,UAE18043,Pomacanthidae,Pomacanthus,maculosus,POMAMACU,39.8,46.8,2.718,UAE18043_POMAMACU_39.8,24.59819,54.42298,UAE-jar,Pom. maculosus,50,Omnivr,Pairng,BnthDw,27.85
44,AG,Saadiyat,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,44,UAE18044,Pomacanthidae,Pomacanthus,maculosus,POMAMACU,37.4,44.8,2.88,UAE18044_POMAMACU_37.4,24.59819,54.42298,Comm,Pom. maculosus,50,Omnivr,Pairng,BnthDw,27.85
45,AG,Saadiyat,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,45,UAE18045,Gobiidae,Callogobius,bifasciatus,CALLBIFA,17.9,22.4,0.113,UAE18045_CALLBIFA_17.9,24.59819,54.42298,Vial,Cal. bifasciatus,7,InvMob,Solitr,BnthDw,27.85
46,AG,Saadiyat,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,46,UAE18046,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,13.5,15.8,0.039,UAE18046_ENNEVENT_13.5,24.59819,54.42298,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
47,AG,Saadiyat,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,47,UAE18047,Gobiidae,Coryogalops,anomalus,CORYANOM,27.4,34.2,0.382,UAE18047_CORYANOM_27.4,24.59819,54.42298,UAE-jar,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
48,AG,Saadiyat,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,48,UAE18048,Gobiidae,Coryogalops,anomalus,CORYANOM,26.1,31.5,0.393,UAE18048_CORYANOM_26.1,24.59819,54.42298,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
49,AG,Saadiyat,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,49,UAE18049,Gobiidae,Coryogalops,anomalus,CORYANOM,24.8,31.2,0.331,UAE18049_CORYANOM_24.8,24.59819,54.42298,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
50,AG,Saadiyat,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,50,UAE18050,Gobiidae,Coryogalops,anomalus,CORYANOM,24.6,29.7,0.301,UAE18050_CORYANOM_24.6,24.59819,54.42298,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
51,AG,Saadiyat,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,51,UAE18051,Gobiidae,Coryogalops,anomalus,CORYANOM,23.5,29.3,0.295,UAE18051_CORYANOM_23.5,24.59819,54.42298,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
52,AG,Saadiyat,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,52,UAE18052,Gobiidae,Coryogalops,anomalus,CORYANOM,23.4,27.4,0.237,UAE18052_CORYANOM_23.4,24.59819,54.42298,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
53,AG,Saadiyat,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,53,UAE18053,Gobiidae,Coryogalops,anomalus,CORYANOM,18.4,22.4,0.105,UAE18053_CORYANOM_18.4,24.59819,54.42298,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
54,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,54,UAE18054,Bythitidae,Dinematichthys,iluocoeteoides,DINEILUO,92.1,102.8,12.52,UAE18054_DINEILUO_92.1,24.36375,54.10164,Comm,Din. iluocoeteoides,12,InvMob,Pairng,BnthDw,27.85
55,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,55,UAE18055,Blenniidae,Ecsenius,pulcher,ECSEPULC,57.4,75,2.685,UAE18055_ECSEPULC_57.4,24.36375,54.10164,Comm-BYCATCH,Ecs. pulcher,11,HerDet,Solitr,BnthDw,27.85
56,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,56,UAE18056,Pomacanthidae,Pomacanthus,maculosus,POMAMACU,28.7,35.9,1.416,UAE18056_POMAMACU_28.7,24.36375,54.10164,Comm,Pom. maculosus,50,Omnivr,Pairng,BnthDw,27.85
57,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,57,UAE18057,Apogonidae,Apogon,coccineus,APOGCOCC,41.9,53.2,2.32,UAE18057_APOGCOCC_41.9,24.36375,54.10164,UAE-jar,Apo. coccineus,6,InvMob,Solitr,BnthDw,27.85
58,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,58,UAE18058,Blenniidae,Omobranchus,spA,OMOBSPA,32.8,39.6,0.49,UAE18058_OMOBSPA_32.8,24.36375,54.10164,Vial,Omo. spA,6.8,HerDet,Solitr,BnthDw,27.85
59,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,59,UAE18059,Batrachoididae,Colletteichthys,occidentalis,COLLSPA,19,22.8,0.214,UAE18059_COLLSPA_19,24.36375,54.10164,Vial,Col. occidentalis,14.8,InvMob,Solitr,BnthDw,27.85
60,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,60,UAE18060,Apogonidae,Cheilodipterus,novemstriatus,CHEINOVE,23.5,30.1,0.296,UAE18060_CHEINOVE_23.5,24.36375,54.10164,Vial,Che. novemstriatus,8,Plktiv,MedGrp,BnthDw,27.85
61,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,61,UAE18061,Apogonidae,Cheilodipterus,novemstriatus,CHEINOVE,27.4,31.7,0.311,UAE18061_CHEINOVE_27.4,24.36375,54.10164,Vial,Che. novemstriatus,8,Plktiv,MedGrp,BnthDw,27.85
62,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,62,UAE18062,Gobiidae,Coryogalops,anomalus,CORYANOM,22.5,28.6,0.26,UAE18062_CORYANOM_22.5,24.36375,54.10164,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
63,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,63,UAE18063,Gobiidae,Coryogalops,anomalus,CORYANOM,32.5,40.3,0.595,UAE18063_CORYANOM_32.5,24.36375,54.10164,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
64,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,64,UAE18064,Gobiidae,Coryogalops,anomalus,CORYANOM,26.7,33.2,0.385,UAE18064_CORYANOM_26.7,24.36375,54.10164,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
65,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,65,UAE18065,Gobiidae,Coryogalops,anomalus,CORYANOM,22.8,27.9,0.254,UAE18065_CORYANOM_22.8,24.36375,54.10164,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
66,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,66,UAE18066,Gobiidae,Coryogalops,anomalus,CORYANOM,24.8,29.7,0.335,UAE18066_CORYANOM_24.8,24.36375,54.10164,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
67,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,67,UAE18067,Gobiidae,Coryogalops,anomalus,CORYANOM,31.3,39.6,0.587,UAE18067_CORYANOM_31.3,24.36375,54.10164,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
68,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,68,UAE18068,Gobiidae,Coryogalops,anomalus,CORYANOM,28,32.9,0.42,UAE18068_CORYANOM_28,24.36375,54.10164,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
69,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,69,UAE18069,Gobiidae,Coryogalops,anomalus,CORYANOM,24.2,30.8,0.38,UAE18069_CORYANOM_24.2,24.36375,54.10164,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
70,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,70,UAE18070,Gobiidae,Coryogalops,anomalus,CORYANOM,24,29.8,0.308,UAE18070_CORYANOM_24,24.36375,54.10164,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
71,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,71,UAE18071,Gobiidae,Coryogalops,anomalus,CORYANOM,26,31.9,0.403,UAE18071_CORYANOM_26,24.36375,54.10164,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
72,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,72,UAE18072,Gobiidae,Coryogalops,anomalus,CORYANOM,22.5,28.4,0.256,UAE18072_CORYANOM_22.5,24.36375,54.10164,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
73,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,73,UAE18073,Gobiidae,Coryogalops,anomalus,CORYANOM,23.4,28.5,0.258,UAE18073_CORYANOM_23.4,24.36375,54.10164,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
74,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,74,UAE18074,Gobiidae,Coryogalops,anomalus,CORYANOM,20.5,25.9,0.177,UAE18074_CORYANOM_20.5,24.36375,54.10164,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
75,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,75,UAE18075,Gobiidae,Coryogalops,anomalus,CORYANOM,23,27.3,0.192,UAE18075_CORYANOM_23,24.36375,54.10164,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
76,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,76,UAE18076,Gobiidae,Coryogalops,anomalus,CORYANOM,10.4,12.2,0.022,UAE18076_CORYANOM_10.4,24.36375,54.10164,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
77,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,77,UAE18077,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.9,23.9,0.151,UAE18077_ENNEVENT_18.9,24.36375,54.10164,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
78,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,78,UAE18078,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.8,23.8,0.14,UAE18078_ENNEVENT_19.8,24.36375,54.10164,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
79,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,79,UAE18079,Gobiidae,Coryogalops,anomalus,CORYANOM,19.9,23.4,0.159,UAE18079_CORYANOM_19.9,24.36375,54.10164,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,27.85
80,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,80,UAE18080,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.7,23.5,0.131,UAE18080_ENNEVENT_18.7,24.36375,54.10164,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
81,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,81,UAE18081,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.5,23.3,0.13,UAE18081_ENNEVENT_18.5,24.36375,54.10164,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
82,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,82,UAE18082,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.5,23.8,0.12,UAE18082_ENNEVENT_18.5,24.36375,54.10164,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
83,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,83,UAE18083,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.7,22.6,0.129,UAE18083_ENNEVENT_18.7,24.36375,54.10164,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
84,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,84,UAE18084,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.2,19.5,0.068,UAE18084_ENNEVENT_16.2,24.36375,54.10164,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
85,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,85,UAE18085,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16,19.1,0.073,UAE18085_ENNEVENT_16,24.36375,54.10164,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
86,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,86,UAE18086,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,14.7,17.9,0.061,UAE18086_ENNEVENT_14.7,24.36375,54.10164,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
87,AG,Dhabiya,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,87,UAE18087,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17,22,0.104,UAE18087_ENNEVENT_17,24.36375,54.10164,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,27.85
