Family,Species,SpecCode,MaxSizeTL,Diet,Schooling,Position,a,b,FormFactor,Linf,LinfType,LinfTL,K,Kmax,O,lon,lat,sstmean,pelnpp,Method,Country,Locality,GrowthRef
Acanthuridae,Acanthurus coeruleus,944,45,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02512,2.96,0.022166628,17.4,SL,24.388188,0.817,0.205573348,3.036927188,-76.09,23.08,27.07117892,274.0764239,Otolith rings,Bahamas,Lee Stocking Island,52229
Acanthuridae,Acanthurus coeruleus,944,45,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02512,2.96,0.022166628,18.3,SL,25.649646,0.477,0.134461621,2.852558723,-78.8,9.6,28.77987676,117.935005,Otolith rings,Panama,San Blas (southwestern Caribbean),52229
Acanthuridae,Acanthurus coeruleus,944,45,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02512,2.96,0.022166628,19.3,SL,27.051266,0.403,0.128065796,2.831393535,-14.4,-7.9,25.93844689,74.3627375,Otolith rings,Ascension,"Ascension Is., south central Atlantic",52229
Acanthuridae,Acanthurus dussumieri,1256,54,Herbivore-detritivore,Small groups,Bentho-pelagic Reef dwelling,0.02951,2.95,0.025238829,30.8,SL,42.064792,0.296,0.168954875,3.116908099,147.5,-18.5,26.55649216,118.2250329,Otolith rings,Australia,Great Barrier Reef,52229
Acanthuridae,Acanthurus leucosternon,1257,54,Herbivore-detritivore,Large groups,Bentho-pelagic Reef dwelling,0.0195,2.94,0.016164215,21,TL,21,1.3,0.157124394,3.072197469,73,8.3,29.26232066,157.6338585,Length-Frequency,India,Lakshadweep lagoons,48600
Acanthuridae,Acanthurus lineatus,1258,38,Herbivore-detritivore,Solitary,Bentho-pelagic Reef dwelling,0.0195,3.03,0.021417788,20.3,FL,25.0313616,0.7,0.267333315,3.069765495,-170.8,-14.5,28.9795003,36.66731966,Otolith rings,American Samoa,"Tutuila Island (14_�S, 171_�W)",27543
Acanthuridae,Acanthurus lineatus,1258,38,Herbivore-detritivore,Solitary,Bentho-pelagic Reef dwelling,0.0195,3.03,0.021417788,17.5,SL,25.66291,0.34,0.137526481,2.781098742,145.4,-14.7,26.86426235,162.6701619,Otolith rings,Australia,northern Great Barrier Reef (mid-shelf),43712
Acanthuridae,Acanthurus lineatus,1258,38,Herbivore-detritivore,Solitary,Bentho-pelagic Reef dwelling,0.0195,3.03,0.021417788,18.9,SL,27.7159428,0.68,0.328462524,3.159198236,145.4,-14.7,26.86426235,162.6701619,Otolith rings,Australia,northern Great Barrier Reef (mid-shelf),43712
Acanthuridae,Acanthurus lineatus,1258,38,Herbivore-detritivore,Solitary,Bentho-pelagic Reef dwelling,0.0195,3.03,0.021417788,18.3,SL,26.8360716,0.462,0.207163177,2.959024973,145.4,-14.7,26.86426235,162.6701619,Otolith rings,Australia,northern Great Barrier Reef,52229
Acanthuridae,Acanthurus mata,1255,50,Planktivore,Large groups,Bentho-pelagic Reef dwelling,0.02291,2.97,0.020858597,38.3,SL,50.7840765,0.219,0.226838798,3.195678373,147.5,-18.5,26.55649216,118.2250329,Otolith rings,Australia,Great Barrier Reef,52229
Acanthuridae,Acanthurus nigricans,6011,21.3,Herbivore-detritivore,Small groups,Bentho-pelagic Reef dwelling,0.02512,2.93,0.020181788,14.3,SL,17.83764125,0.28,0.188527529,2.237302628,147.5,-18.5,26.55649216,118.2250329,Otolith rings,Australia,Great Barrie Reef,52229
Acanthuridae,Acanthurus nigricans,6011,21.3,Herbivore-detritivore,Small groups,Bentho-pelagic Reef dwelling,0.02512,2.93,0.020181788,15.3,SL,19.08502875,0.7,0.547985901,2.700697238,-157.5,2,27.88374093,94.89558998,Otolith rings,Northern Line Islands,Kiritimati,"Ruttenberg et al. (2011) Predator-Induced Demographic Shifts in Coral Reef Fish Assemblages. PLoS ONE, 6: e21062"
Acanthuridae,Acanthurus nigricans,6011,21.3,Herbivore-detritivore,Small groups,Bentho-pelagic Reef dwelling,0.02512,2.93,0.020181788,14.3,SL,17.83764125,0.5,0.336656302,2.489114601,-162.15,5.88,28.44501644,72.90671873,Otolith rings,Northern Line Islands,Palmyra,"Ruttenberg et al. (2011) Predator-Induced Demographic Shifts in Coral Reef Fish Assemblages. PLoS ONE, 6: e21062"
Acanthuridae,Acanthurus nigricauda,4747,40,Herbivore-detritivore,Small groups,Bentho-pelagic Reef dwelling,0.02188,2.96,0.019307557,24.3,TL,24.3,0.6,0.195243356,2.899312518,73,8.3,29.26232066,157.6338585,Length-Frequency,India,Lakshadweep lagoons,48600
Acanthuridae,Acanthurus nigrofuscus,4739,21,Herbivore-detritivore,Small groups,Bentho-pelagic Reef dwelling,0.02344,2.97,0.02134114,18,NG,18,1,0.705811735,2.837129258,143.84,7.34,29.47006642,46.74410379,Length-Frequency,Micronesia,"Woleai Atoll, Yap State",3807
Acanthuridae,Acanthurus nigrofuscus,4739,21,Herbivore-detritivore,Small groups,Bentho-pelagic Reef dwelling,0.02344,2.97,0.02134114,12.7,FL,14.50500338,0.51,0.220982334,2.332797939,147.5,-18.5,26.55649216,118.2250329,Otolith rings,Australia,"Coil reef, Northern Queensland",12201
Acanthuridae,Acanthurus nigrofuscus,4739,21,Herbivore-detritivore,Small groups,Bentho-pelagic Reef dwelling,0.02344,2.97,0.02134114,15.8,FL,18.04559475,0.45,0.319436564,2.492825009,147.5,-18.5,26.55649216,118.2250329,Otolith rings,Australia,"Yankee reef, Northern Queensland",12201
Acanthuridae,Acanthurus nigrofuscus,4739,21,Herbivore-detritivore,Small groups,Bentho-pelagic Reef dwelling,0.02344,2.97,0.02134114,12,SL,17.06331,0.783,0.489771877,2.678434228,147.5,-18.5,26.55649216,118.2250329,Otolith rings,Australia,Great Barrier Reef,52229
Acanthuridae,Acanthurus olivaceus,4744,35,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02399,3.05,0.028049831,21,SL,28.349244,1.066,0.653611187,3.399178611,145.4,-14.5,26.79756384,145.7152984,Otolith rings,Australia,northern Great Barrier Reef,52229
Acanthuridae,Acanthurus pyroferus,4742,25,Herbivore-detritivore,Solitary,Bentho-pelagic Reef dwelling,0.02239,2.98,0.021032655,14.3,SL,19.73254616,0.422,0.246764369,2.562502844,147.5,-18.5,26.55649216,118.2250329,Otolith rings,Australia,Great Barrier Reef,52229
Acanthuridae,Acanthurus tractus,942,52,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.01862,2.91,0.014052697,24.6,FL,27.089274,0.383,0.090372502,2.756142869,-64.69,18.33,27.87900795,94.28083737,Mark-recapture,Virgin Islands US,NA,1912
Acanthuridae,Acanthurus tractus,942,52,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.01862,2.91,0.014052697,14.63,SL,20.0043305,2.1,0.253200691,3.203571451,-78.8,9.6,28.77987676,117.935005,Otolith rings,Panama,"San Blas (9.5oN, southwestern Caribbean)","Robertson et al. (2005) Ocean surgeonfish Acanthurus bahianus. I. The geography of demography. Mar Ecol Prog Ser, 295:229-244"
Acanthuridae,Acanthurus tractus,942,52,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.01862,2.91,0.014052697,15.28,SL,20.893108,1.26,0.167272263,3.023530498,-76.09,23.08,27.07117892,274.0764239,Otolith rings,Bahamas,Lee Stocking Island,"Robertson et al. (2005) Ocean surgeonfish Acanthurus bahianus. I. The geography of demography. Mar Ecol Prog Ser, 295:229-244"
Acanthuridae,Acanthurus tractus,942,52,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.01862,2.91,0.014052697,13.4,SL,18.32249,1.36,0.134997005,2.930430699,-66.75,11.83,27.7978402,309.4710217,Otolith rings,Venezuela,Los Roques,"Robertson et al. (2005) Ocean surgeonfish Acanthurus bahianus. I. The geography of demography. Mar Ecol Prog Ser, 295:229-244"
Acanthuridae,Acanthurus tractus,942,52,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.01862,2.91,0.014052697,14.32,SL,19.580452,1.43,0.164431034,3.016090354,-67.5,12,27.62150115,121.4095373,Otolith rings,Venezuela,Las Aves,"Robertson et al. (2005) Ocean surgeonfish Acanthurus bahianus. I. The geography of demography. Mar Ecol Prog Ser, 295:229-244"
Acanthuridae,Acanthurus tractus,942,52,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.01862,2.91,0.014052697,12.85,SL,17.5704475,1.14,0.103129354,2.81348886,-59.7,13.2,28.12813806,72.87333718,Otolith rings,Barbados,Barbados,"Robertson et al. (2005) Ocean surgeonfish Acanthurus bahianus. I. The geography of demography. Mar Ecol Prog Ser, 295:229-244"
Acanthuridae,Acanthurus tractus,942,52,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.01862,2.91,0.014052697,13.79,SL,18.8557565,0.67,0.07086824,2.650558209,-88.08,16.8,28.50754215,173.8914749,Otolith rings,Belize,"Carrie Bow Cay, outer reefs","Robertson et al. (2005) Ocean surgeonfish Acanthurus bahianus. I. The geography of demography. Mar Ecol Prog Ser, 295:229-244"
Acanthuridae,Acanthurus tractus,942,52,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.01862,2.91,0.014052697,16.26,SL,22.233111,1.17,0.178248051,3.051131355,-88.1,16.8,28.52916691,211.6891147,Otolith rings,Belize,"Carrie Bow Cay, inner reefs","Robertson et al. (2005) Ocean surgeonfish Acanthurus bahianus. I. The geography of demography. Mar Ecol Prog Ser, 295:229-244"
Acanthuridae,Acanthurus tractus,942,52,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.01862,2.91,0.014052697,16.15,SL,22.0827025,1.15,0.172587112,3.037114926,-64.7,32.35,23.1178262,164.8008568,Otolith rings,Bermuda,"Castle Harbour Lagoon, inner reefs","Robertson et al. (2005) Ocean surgeonfish Acanthurus bahianus. I. The geography of demography. Mar Ecol Prog Ser, 295:229-244"
Acanthuridae,Acanthurus tractus,942,52,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.01862,2.91,0.014052697,17.18,SL,23.491073,0.63,0.108420665,2.83521863,-64.9,32.24,23.16954045,184.907971,Otolith rings,Bermuda,Northern and southern rims of Bermuda platform,"Robertson et al. (2005) Ocean surgeonfish Acanthurus bahianus. I. The geography of demography. Mar Ecol Prog Ser, 295:229-244"
Acanthuridae,Acanthurus triostegus,1260,27,Herbivore-detritivore,Large groups,Bentho-pelagic Reef dwelling,0.02188,2.96,0.019307557,21.7,SL,27.83789925,0.35,0.374943289,2.798198346,-157.78,21.44,25.51690745,97.60012906,Mark-recapture,Hawaii,Oahu,312
Acanthuridae,Acanthurus triostegus,1260,27,Herbivore-detritivore,Large groups,Bentho-pelagic Reef dwelling,0.02188,2.96,0.019307557,20,TL,20,1,0.508645687,2.930648127,73,8.3,29.26232066,157.6338585,Length-Frequency,India,Lakshadweep lagoons,48600
Acanthuridae,Acanthurus xanthopterus,1261,70,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.01995,2.98,0.018740574,42.6,SL,59.615718,0.287,0.199403662,3.484009564,147.5,-18.5,26.55649216,118.2250329,Otolith rings,Australia,Great Barrier Reef,52229
Acanthuridae,Ctenochaetus striatus,1262,26,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02239,2.98,0.021032655,24.1,TL,24.1,0.87,0.732456104,3.073629861,-149.9,-17.47,28.24027271,51.89274695,Length-Frequency,French Polynesia,"Tiahura reef, Moorea Island",6972
Acanthuridae,Ctenochaetus striatus,1262,26,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02239,2.98,0.021032655,17,FL,19.35943,0.9,0.461087633,2.872631733,-170.8,-14.5,28.9795003,36.66731966,Otolith rings,American Samoa,Tutuila Island,93525
Acanthuridae,Ctenochaetus striatus,1262,26,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02239,2.98,0.021032655,17.2,FL,19.587188,0.75,0.394567649,2.804969734,-170.65,-14.3,29.06502218,42.47386455,Otolith rings,American Samoa,"Tutuila, back reef","Trip et al. (2008) Inter-oceanic analysis of demographic variation in a widely distributed Indo-Pacific coral reef fish. Mar Ecol Prog Ser, 373: 97-109"
Acanthuridae,Ctenochaetus striatus,1262,26,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02239,2.98,0.021032655,18.2,FL,20.725978,0.5,0.299011717,2.684536465,-169.53,-14.22,29.13913405,31.41551621,Otolith rings,American Samoa,"Ta'u, back reef","Trip et al. (2008) Inter-oceanic analysis of demographic variation in a widely distributed Indo-Pacific coral reef fish. Mar Ecol Prog Ser, 373: 97-109"
Acanthuridae,Ctenochaetus striatus,1262,26,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02239,2.98,0.021032655,17.6,FL,20.042704,1.4,0.775943793,3.098678522,-169.64,-14.16,29.10490245,33.37307363,Otolith rings,American Samoa,"Ofu-Olosega, back reef","Trip et al. (2008) Inter-oceanic analysis of demographic variation in a widely distributed Indo-Pacific coral reef fish. Mar Ecol Prog Ser, 373: 97-109"
Acanthuridae,Ctenochaetus striatus,1262,26,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02239,2.98,0.021032655,17.8,FL,20.270462,0.7,0.398042113,2.808777282,-149.9,-17.47,28.24027271,51.89274695,Otolith rings,French Polynesia,"Moorea, outer slope and crest","Trip et al. (2008) Inter-oceanic analysis of demographic variation in a widely distributed Indo-Pacific coral reef fish. Mar Ecol Prog Ser, 373: 97-109"
Acanthuridae,Ctenochaetus striatus,1262,26,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02239,2.98,0.021032655,15.9,FL,18.106761,0.5,0.220103974,2.551476144,150.7,-2.6,30.46326909,89.15784552,Otolith rings,Papua New Guinea,"Kavieng, outer slope and crest","Trip et al. (2008) Inter-oceanic analysis of demographic variation in a widely distributed Indo-Pacific coral reef fish. Mar Ecol Prog Ser, 373: 97-109"
Acanthuridae,Ctenochaetus striatus,1262,26,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02239,2.98,0.021032655,12.8,FL,14.576512,0.6,0.161515195,2.417061644,150.4,-5.2,30.86338429,50.06171137,Otolith rings,Papua New Guinea,"Kimbe Bay, outer slope and crest","Trip et al. (2008) Inter-oceanic analysis of demographic variation in a widely distributed Indo-Pacific coral reef fish. Mar Ecol Prog Ser, 373: 97-109"
Acanthuridae,Ctenochaetus striatus,1262,26,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02239,2.98,0.021032655,19.4,FL,22.092526,1,0.691201253,3.048452776,145.46,-14.69,26.78889742,139.9453224,Otolith rings,Australia,"Lizard Island, back reef","Trip et al. (2008) Inter-oceanic analysis of demographic variation in a widely distributed Indo-Pacific coral reef fish. Mar Ecol Prog Ser, 373: 97-109"
Acanthuridae,Ctenochaetus striatus,1262,26,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02239,2.98,0.021032655,17.1,FL,19.473309,0.9,0.467261435,2.878408198,145.46,-14.705,26.79192331,143.508615,Otolith rings,Australia,"Lizard Island, outer slope and crest","Trip et al. (2008) Inter-oceanic analysis of demographic variation in a widely distributed Indo-Pacific coral reef fish. Mar Ecol Prog Ser, 373: 97-109"
Acanthuridae,Ctenochaetus striatus,1262,26,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02239,2.98,0.021032655,20.1,FL,22.889679,0.8,0.599246425,2.986453711,147.5,-18.5,26.55649216,118.2250329,Otolith rings,Australia,"Townsville, outer slope and crest","Trip et al. (2008) Inter-oceanic analysis of demographic variation in a widely distributed Indo-Pacific coral reef fish. Mar Ecol Prog Ser, 373: 97-109"
Acanthuridae,Ctenochaetus striatus,1262,26,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02239,2.98,0.021032655,19.9,FL,22.661921,0.3,0.219678621,2.550636053,152.1,-23.5,24.7299718,153.8201335,Otolith rings,Australia,"One Tree Island,  outer slope and crest","Trip et al. (2008) Inter-oceanic analysis of demographic variation in a widely distributed Indo-Pacific coral reef fish. Mar Ecol Prog Ser, 373: 97-109"
Acanthuridae,Ctenochaetus striatus,1262,26,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02239,2.98,0.021032655,18.8,FL,21.409252,0.4,0.257467958,2.619571448,96.86,-12.15,27.80776217,135.017152,Otolith rings,Australia,"Cocos-Keeling, lagoon","Trip et al. (2008) Inter-oceanic analysis of demographic variation in a widely distributed Indo-Pacific coral reef fish. Mar Ecol Prog Ser, 373: 97-109"
Acanthuridae,Ctenochaetus striatus,1262,26,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02239,2.98,0.021032655,19.4,SL,25.865147,0.4,0.395310585,2.805786703,96.87,-12.21,27.87672068,68.48367477,Otolith rings,Australia,"Cocos-Keeling, outer slope and crest","Trip et al. (2008) Inter-oceanic analysis of demographic variation in a widely distributed Indo-Pacific coral reef fish. Mar Ecol Prog Ser, 373: 97-109"
Acanthuridae,Ctenochaetus striatus,1262,26,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02239,2.98,0.021032655,23.2,SL,30.931516,1.3,1.92751222,3.493845399,59,25,27.56699682,296.9594433,Otolith rings,Oman,Outer slope and crest,"Trip et al. (2008) Inter-oceanic analysis of demographic variation in a widely distributed Indo-Pacific coral reef fish. Mar Ecol Prog Ser, 373: 97-109"
Acanthuridae,Ctenochaetus striatus,1262,26,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02239,2.98,0.021032655,20.5,SL,27.3317275,2.1,2.351884073,3.58026417,55.5,-4.5,28.51449454,122.1698137,Otolith rings,Seychelles Islands,"Mahe Plateau, outer slope and crest","Trip et al. (2008) Inter-oceanic analysis of demographic variation in a widely distributed Indo-Pacific coral reef fish. Mar Ecol Prog Ser, 373: 97-109"
Acanthuridae,Ctenochaetus striatus,1262,26,Herbivore-detritivore,Medium groups,Bentho-pelagic Reef dwelling,0.02239,2.98,0.021032655,18.5,SL,24.6652175,1.1,0.976083188,3.198335092,53.2,-5.9,28.06405003,114.0990658,Otolith rings,Seychelles Islands,"Amirantes, outer slope and crest","Trip et al. (2008) Inter-oceanic analysis of demographic variation in a widely distributed Indo-Pacific coral reef fish. Mar Ecol Prog Ser, 373: 97-109"
Acanthuridae,Ctenochaetus strigosus,6015,18.6,Herbivore-detritivore,Small groups,Bentho-pelagic Reef dwelling,0.02291,3.04,0.025962415,23.3,TL,23.3,0.9,1.515641072,3.117538391,73,8.3,29.26232066,157.6338585,Length-Frequency,India,Lakshadweep,48600
Acanthuridae,Ctenochaetus strigosus,6015,18.6,Herbivore-detritivore,Small groups,Bentho-pelagic Reef dwelling,0.02291,3.04,0.025962415,12.19,SL,15.56656905,0.964,0.638560068,2.742143782,-171.7,25.8,24.83742968,96.09445181,Otolith rings,Hawaii,"Northwestern Hawaiian Islands, from Nihoa to Kure, shallow reefs","Winston et al. (2017) Instraspecific variability in the life histories of endemic coral-reef fishes between photic and mesophotic depths across the Central Pacific Ocean. Coral Reefs, 36: 663-674"
Acanthuridae,Ctenochaetus strigosus,6015,18.6,Herbivore-detritivore,Small groups,Bentho-pelagic Reef dwelling,0.02291,3.04,0.025962415,15.92,SL,20.3297604,0.407,0.499963016,2.635879905,-171.7,25.8,24.83742968,96.09445181,Otolith rings,Hawaii,"Northwestern Hawaiian Islands, from Nihoa to Kure, mesophotic reefs","Winston et al. (2017) Instraspecific variability in the life histories of endemic coral-reef fishes between photic and mesophotic depths across the Central Pacific Ocean. Coral Reefs, 36: 663-674"
Acanthuridae,Ctenochaetus strigosus,6015,18.6,Herbivore-detritivore,Small groups,Bentho-pelagic Reef dwelling,0.02291,3.04,0.025962415,14.52,SL,18.5419674,0.423,0.419953037,2.560142752,-157.78,21.44,25.51690745,97.60012906,Otolith rings,Hawaii,"Main Hawaiian Islands, from Maui to Nihau, shallow reefs","Winston et al. (2017) Instraspecific variability in the life histories of endemic coral-reef fishes between photic and mesophotic depths across the Central Pacific Ocean. Coral Reefs, 36: 663-674"
Acanthuridae,Ctenochaetus strigosus,6015,18.6,Herbivore-detritivore,Small groups,Bentho-pelagic Reef dwelling,0.02291,3.04,0.025962415,10.47,SL,13.37013765,1.146,0.533937445,2.664432404,-169.5,16.7,26.76565034,109.5626573,Otolith rings,Johnston Atoll,"Johnston Atoll, shallow reefs","Winston et al. (2017) Instraspecific variability in the life histories of endemic coral-reef fishes between photic and mesophotic depths across the Central Pacific Ocean. Coral Reefs, 36: 663-674"
Acanthuridae,Ctenochaetus strigosus,6015,18.6,Herbivore-detritivore,Small groups,Bentho-pelagic Reef dwelling,0.02291,3.04,0.025962415,10.99,SL,14.03417505,0.632,0.329399617,2.454665115,-169.5,16.7,26.76565034,109.5626573,Otolith rings,Johnston Atoll,"Johnston Atoll, mesophotic reefs","Winston et al. (2017) Instraspecific variability in the life histories of endemic coral-reef fishes between photic and mesophotic depths across the Central Pacific Ocean. Coral Reefs, 36: 663-674"
Acanthuridae,Naso annulatus,6019,100,Planktivore,Medium groups,Pelagic Reef dwelling,0.02455,2.95,0.020996722,62.6,SL,72.42176772,0.213,0.103226877,3.503692787,147.5,-18.5,26.55649216,118.2250329,Otolith rings,Australia,Great Barrier Reef,52229
Acanthuridae,Naso brachycentron,6020,105.1,Herbivore-macroalgae feeder,Medium groups,Bentho-pelagic Reef dwelling,0.02188,2.97,0.019920825,43.4,SL,53.46229,0.429,0.093104941,3.53813854,147.5,-18.5,26.55649216,118.2250329,Otolith rings,Australia,Great Barrier Reef,52229
Acanthuridae,Naso brevirostris,6021,60,Omnivore,Large groups,Bentho-pelagic Reef dwelling,0.02042,3,0.02042,30.4,SL,32.80008,0.402,0.101262618,3.064968457,147.5,-18.5,26.55649216,118.2250329,Otolith rings,Australia,Great Barrier Reef,52229
Acanthuridae,Naso hexacanthus,1263,79.2,Planktivore,Large groups,Bentho-pelagic Reef dwelling,0.02344,2.96,0.020684147,52.7,SL,61.925135,0.221,0.126966083,3.380680118,147.5,-18.5,26.55649216,118.2250329,Otolith rings,Australia,Great Barrier Reef,52229
Acanthuridae,Naso lituratus,1264,60,Herbivore-macroalgae feeder,Small groups,Bentho-pelagic Reef dwelling,0.0257,2.95,0.021980275,35.1,FL,41.392728,0.35,0.152097137,3.17398169,134.4,7.4,29.59048729,96.63823535,Length-Frequency,Palau,NA,4895
Acanthuridae,Naso lituratus,1264,60,Herbivore-macroalgae feeder,Small groups,Bentho-pelagic Reef dwelling,0.0257,2.95,0.021980275,21.1,SL,27.513556,0.755,0.131158585,3.109657371,145.4,-14.7,26.86426235,162.6701619,Otolith rings,Australia,northern Great Barrier Reef,52229
Acanthuridae,Naso lituratus,1264,60,Herbivore-macroalgae feeder,Small groups,Bentho-pelagic Reef dwelling,0.0257,2.95,0.021980275,21.2,FL,25.000736,1.38,0.193353733,3.278213212,158.13,6.8,29.83614024,50.58223614,Otolith rings,Micronesia,Pohnpei,"Taylor et al. (2014) Age-based demographic and reproductive assessment of orangespine Naso lituratus and bluespine Naso unicornis unicornfishes. J Fish Biol, 85: 901_916"
Acanthuridae,Naso lituratus,1264,60,Herbivore-macroalgae feeder,Small groups,Bentho-pelagic Reef dwelling,0.0257,2.95,0.021980275,20.4,FL,24.057312,0.93,0.119523411,3.069313627,144.75,13.5,28.98428293,32.93690684,Otolith rings,Micronesia,Guam,"Taylor et al. (2014) Age-based demographic and reproductive assessment of orangespine Naso lituratus and bluespine Naso unicornis unicornfishes. J Fish Biol, 85: 901_916"
Acanthuridae,Naso tuberosus,6023,65.3,Herbivore-macroalgae feeder,Small groups,Bentho-pelagic Reef dwelling,0.02188,2.97,0.019920825,45.9,SL,49.974543,0.428,0.233825887,3.470904915,147.5,-18.5,26.55649216,118.2250329,Otolith rings,Australia,Great Barrier Reef,52229
Acanthuridae,Naso unicornis,1265,73.6,Herbivore-macroalgae feeder,Small groups,Bentho-pelagic Reef dwelling,0.02188,2.94,0.018137078,57,FL,59.95317,0.14,0.088482598,3.123698274,134.4,7.4,29.59048729,96.63823535,Length-Frequency,Palau,NA,4895
