Number,Location,Sitename,Sitenumber,Habitat,Date,Depth,Dimension,Loc_abbrev,ID_number,ID,Family,Genus,Species,Tax,SL,TL,W,Full_ID,Lat,Long,Notes,
19,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,19,UAE18019,Apogonidae,Fowleria,variegata,FOWLVARI,43.2,52.5,2.53,UAE18019_FOWLVARI_43.2,24.599,54.4215,Comm,
20,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,20,UAE18020,Apogonidae,Apogon,coccineus,APOGCOCC,40.8,50.2,2.06,UAE18020_APOGCOCC_40.8,24.599,54.4215,Comm,
21,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,21,UAE18021,Gobiidae,Callogobius,bifasciatus,CALLBIFA,26.8,32.9,0.37,UAE18021_CALLBIFA_26.8,24.599,54.4215,Comm,
22,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,22,UAE18022,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,22.2,26.8,0.18,UAE18022_ENNEVENT_22.2,24.599,54.4215,Vial,
23,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,23,UAE18023,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.9,24.1,0.157,UAE18023_ENNEVENT_19.9,24.599,54.4215,Vial,
24,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,24,UAE18024,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.1,20.7,0.089,UAE18024_ENNEVENT_17.1,24.599,54.4215,Vial,
25,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,25,UAE18025,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.3,20.1,0.078,UAE18025_ENNEVENT_16.3,24.599,54.4215,Vial,
26,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,26,UAE18026,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.3,21.1,0.101,UAE18026_ENNEVENT_17.3,24.599,54.4215,Vial,
27,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,27,UAE18027,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.8,21.5,0.105,UAE18027_ENNEVENT_17.8,24.599,54.4215,Vial,
28,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,28,UAE18028,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,11.1,13.6,0.023,UAE18028_ENNEVENT_11.1,24.599,54.4215,Vial,
29,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,29,UAE18029,Gobiidae,Coryogalops,anomalus,CORYANOM,10.9,12.8,0.024,UAE18029_CORYANOM_10.9,24.599,54.4215,Vial,
30,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,30,UAE18030,Gobiidae,Coryogalops,anomalus,CORYANOM,9.3,10.3,0.011,UAE18030_CORYANOM_9.3,24.599,54.4215,Vial,
31,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,31,UAE18031,Gobiidae,Coryogalops,anomalus,CORYANOM,8.1,10.5,0.009,UAE18031_CORYANOM_8.1,24.599,54.4215,Vial,
32,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,32,UAE18032,Gobiidae,Coryogalops,anomalus,CORYANOM,17.3,21.2,0.088,UAE18032_CORYANOM_17.3,24.599,54.4215,Vial,
33,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,33,UAE18033,Gobiidae,Coryogalops,anomalus,CORYANOM,26.1,31.8,0.39,UAE18033_CORYANOM_26.1,24.599,54.4215,Vial,
34,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,34,UAE18034,Gobiidae,Coryogalops,anomalus,CORYANOM,23.9,29.2,0.273,UAE18034_CORYANOM_23.9,24.599,54.4215,Vial,
35,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,35,UAE18035,Gobiidae,Coryogalops,anomalus,CORYANOM,25.1,30.8,0.296,UAE18035_CORYANOM_25.1,24.599,54.4215,Vial,
36,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,36,UAE18036,Gobiidae,Coryogalops,anomalus,CORYANOM,27.7,33.6,0.456,UAE18036_CORYANOM_27.7,24.599,54.4215,Vial,
37,AbuDhabi,SaadiyatI,B2,Patchreef,27/04/18,6.4,250,UAE18,37,UAE18037,Pomacanthidae,Pomacanthus,maculosus,POMAMACU,67.3,85,17.6,UAE18037_POMAMACU_67.3,24.599,54.4215,Voucher,
38,AbuDhabi,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,38,UAE18038,Serranidae,Cephalopholis,hemistiktos,CEPHHEMI,101,124.1,30.34,UAE18038_CEPHHEMI_101,24.59819,54.42298,Voucher,
39,AbuDhabi,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,39,UAE18039,Batrachoididae,Colletteichthys,occidentalis,COLLOCCI,65.6,76,7.87,UAE18039_COLLOCCI_65.6,24.59819,54.42298,Comm,
40,AbuDhabi,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,40,UAE18040,Batrachoididae,Colletteichthys,occidentalis,COLLOCCI,60.2,70.2,6.4,UAE18040_COLLOCCI_60.2,24.59819,54.42298,Comm,
41,AbuDhabi,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,41,UAE18041,Apogonidae,Apogonichthyoides,taeniatus,APOGTAEN,71.7,90.7,13.809,UAE18041_APOGTAEN_71.7,24.59819,54.42298,Comm,
42,AbuDhabi,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,42,UAE18042,Pomacentridae,Pomacentrus,trichrourus,POMATRIC,44.8,57.2,4.16,UAE18042_POMATRIC_44.8,24.59819,54.42298,Comm,
43,AbuDhabi,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,43,UAE18043,Pomacanthidae,Pomacanthus,maculosus,POMAMACU,39.8,46.8,2.718,UAE18043_POMAMACU_39.8,24.59819,54.42298,UAE-jar,
44,AbuDhabi,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,44,UAE18044,Pomacanthidae,Pomacanthus,maculosus,POMAMACU,37.4,44.8,2.88,UAE18044_POMAMACU_37.4,24.59819,54.42298,Comm,
45,AbuDhabi,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,45,UAE18045,Gobiidae,Callogobius,bifasciatus,CALLBIFA,17.9,22.4,0.113,UAE18045_CALLBIFA_17.9,24.59819,54.42298,Vial,
46,AbuDhabi,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,46,UAE18046,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,13.5,15.8,0.039,UAE18046_ENNEVENT_13.5,24.59819,54.42298,Vial,
47,AbuDhabi,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,47,UAE18047,Gobiidae,Coryogalops,anomalus,CORYANOM,27.4,34.2,0.382,UAE18047_CORYANOM_27.4,24.59819,54.42298,UAE-jar,
48,AbuDhabi,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,48,UAE18048,Gobiidae,Coryogalops,anomalus,CORYANOM,26.1,31.5,0.393,UAE18048_CORYANOM_26.1,24.59819,54.42298,Vial,
49,AbuDhabi,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,49,UAE18049,Gobiidae,Coryogalops,anomalus,CORYANOM,24.8,31.2,0.331,UAE18049_CORYANOM_24.8,24.59819,54.42298,Vial,
50,AbuDhabi,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,50,UAE18050,Gobiidae,Coryogalops,anomalus,CORYANOM,24.6,29.7,0.301,UAE18050_CORYANOM_24.6,24.59819,54.42298,Vial,
51,AbuDhabi,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,51,UAE18051,Gobiidae,Coryogalops,anomalus,CORYANOM,23.5,29.3,0.295,UAE18051_CORYANOM_23.5,24.59819,54.42298,Vial,
52,AbuDhabi,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,52,UAE18052,Gobiidae,Coryogalops,anomalus,CORYANOM,23.4,27.4,0.237,UAE18052_CORYANOM_23.4,24.59819,54.42298,Vial,
53,AbuDhabi,SaadiyatII,B3,Patchreef,27/04/18,6.9,260,UAE18,53,UAE18053,Gobiidae,Coryogalops,anomalus,CORYANOM,18.4,22.4,0.105,UAE18053_CORYANOM_18.4,24.59819,54.42298,Vial,
54,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,54,UAE18054,Bythitidae,Dinematichthys,iluocoeteoides,DINEILUO,92.1,102.8,12.52,UAE18054_DINEILUO_92.1,24.36375,54.10164,Comm,
55,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,55,UAE18055,Blenniidae,Cirripectes,filamentosus,CIRRFILA,57.4,75,2.685,UAE18055_CIRRFILA_57.4,24.36375,54.10164,Comm-BYCATCH,
56,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,56,UAE18056,Pomacanthidae,Pomacanthus,maculosus,POMAMACU,28.7,35.9,1.416,UAE18056_POMAMACU_28.7,24.36375,54.10164,Comm,
57,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,57,UAE18057,Apogonidae,Apogon,coccineus,APOGCOCC,41.9,53.2,2.32,UAE18057_APOGCOCC_41.9,24.36375,54.10164,UAE-jar,
58,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,58,UAE18058,Blenniidae,Omobranchus,spA,OMOBSPA,32.8,39.6,0.49,UAE18058_OMOBSPA_32.8,24.36375,54.10164,Vial,
59,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,59,UAE18059,Batrachoididae,Colletteichthys,spA,COLLSPA,19,22.8,0.214,UAE18059_COLLSPA_19,24.36375,54.10164,Vial,
60,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,60,UAE18060,Apogonidae,Cheilodipterus,novemstriatus,CHEINOVE,23.5,30.1,0.296,UAE18060_CHEINOVE_23.5,24.36375,54.10164,Vial,
61,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,61,UAE18061,Apogonidae,Cheilodipterus,novemstriatus,CHEINOVE,27.4,31.7,0.311,UAE18061_CHEINOVE_27.4,24.36375,54.10164,Vial,
62,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,62,UAE18062,Gobiidae,Coryogalops,anomalus,CORYANOM,22.5,28.6,0.26,UAE18062_CORYANOM_22.5,24.36375,54.10164,Vial,
63,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,63,UAE18063,Gobiidae,Coryogalops,anomalus,CORYANOM,32.5,40.3,0.595,UAE18063_CORYANOM_32.5,24.36375,54.10164,Vial,
64,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,64,UAE18064,Gobiidae,Coryogalops,anomalus,CORYANOM,26.7,33.2,0.385,UAE18064_CORYANOM_26.7,24.36375,54.10164,Vial,
65,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,65,UAE18065,Gobiidae,Coryogalops,anomalus,CORYANOM,22.8,27.9,0.254,UAE18065_CORYANOM_22.8,24.36375,54.10164,Vial,
66,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,66,UAE18066,Gobiidae,Coryogalops,anomalus,CORYANOM,24.8,29.7,0.335,UAE18066_CORYANOM_24.8,24.36375,54.10164,Vial,
67,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,67,UAE18067,Gobiidae,Coryogalops,anomalus,CORYANOM,31.3,39.6,0.587,UAE18067_CORYANOM_31.3,24.36375,54.10164,Vial,
68,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,68,UAE18068,Gobiidae,Coryogalops,anomalus,CORYANOM,28,32.9,0.42,UAE18068_CORYANOM_28,24.36375,54.10164,Vial,
69,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,69,UAE18069,Gobiidae,Coryogalops,anomalus,CORYANOM,24.2,30.8,0.38,UAE18069_CORYANOM_24.2,24.36375,54.10164,Vial,
70,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,70,UAE18070,Gobiidae,Coryogalops,anomalus,CORYANOM,24,29.8,0.308,UAE18070_CORYANOM_24,24.36375,54.10164,Vial,
71,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,71,UAE18071,Gobiidae,Coryogalops,anomalus,CORYANOM,26,31.9,0.403,UAE18071_CORYANOM_26,24.36375,54.10164,Vial,
72,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,72,UAE18072,Gobiidae,Coryogalops,anomalus,CORYANOM,22.5,28.4,0.256,UAE18072_CORYANOM_22.5,24.36375,54.10164,Vial,
73,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,73,UAE18073,Gobiidae,Coryogalops,anomalus,CORYANOM,23.4,28.5,0.258,UAE18073_CORYANOM_23.4,24.36375,54.10164,Vial,
74,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,74,UAE18074,Gobiidae,Coryogalops,anomalus,CORYANOM,20.5,25.9,0.177,UAE18074_CORYANOM_20.5,24.36375,54.10164,Vial,
75,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,75,UAE18075,Gobiidae,Coryogalops,anomalus,CORYANOM,23,27.3,0.192,UAE18075_CORYANOM_23,24.36375,54.10164,Vial,
76,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,76,UAE18076,Gobiidae,Coryogalops,anomalus,CORYANOM,10.4,12.2,0.022,UAE18076_CORYANOM_10.4,24.36375,54.10164,Vial,
77,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,77,UAE18077,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.9,23.9,0.151,UAE18077_ENNEVENT_18.9,24.36375,54.10164,Vial,
78,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,78,UAE18078,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.8,23.8,0.14,UAE18078_ENNEVENT_19.8,24.36375,54.10164,Vial,
79,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,79,UAE18079,Gobiidae,Coryogalops,anomalus,CORYANOM,19.9,23.4,0.159,UAE18079_CORYANOM_19.9,24.36375,54.10164,Vial,
80,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,80,UAE18080,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.7,23.5,0.131,UAE18080_ENNEVENT_18.7,24.36375,54.10164,Vial,
81,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,81,UAE18081,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.5,23.3,0.13,UAE18081_ENNEVENT_18.5,24.36375,54.10164,Vial,
82,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,82,UAE18082,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.5,23.8,0.12,UAE18082_ENNEVENT_18.5,24.36375,54.10164,Vial,
83,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,83,UAE18083,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.7,22.6,0.129,UAE18083_ENNEVENT_18.7,24.36375,54.10164,Vial,
84,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,84,UAE18084,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.2,19.5,0.068,UAE18084_ENNEVENT_16.2,24.36375,54.10164,Vial,
85,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,85,UAE18085,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16,19.1,0.073,UAE18085_ENNEVENT_16,24.36375,54.10164,Vial,
86,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,86,UAE18086,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,14.7,17.9,0.061,UAE18086_ENNEVENT_14.7,24.36375,54.10164,Vial,
87,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,87,UAE18087,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17,22,0.104,UAE18087_ENNEVENT_17,24.36375,54.10164,Vial,
88,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,88,UAE18088,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,15.2,18.2,0.065,UAE18088_ENNEVENT_15.2,24.36375,54.10164,Vial,
89,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,89,UAE18089,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.1,23.4,0.146,UAE18089_ENNEVENT_19.1,24.36375,54.10164,Vial,
90,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,90,UAE18090,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,20.1,24.6,0.155,UAE18090_ENNEVENT_20.1,24.36375,54.10164,Vial,
91,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,91,UAE18091,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.4,20.6,0.088,UAE18091_ENNEVENT_16.4,24.36375,54.10164,Vial,
92,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,92,UAE18092,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,15.5,17.8,0.069,UAE18092_ENNEVENT_15.5,24.36375,54.10164,Vial,
93,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,93,UAE18093,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,15.9,18.9,0.08,UAE18093_ENNEVENT_15.9,24.36375,54.10164,Vial,
94,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,94,UAE18094,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,14.7,18.3,0.065,UAE18094_ENNEVENT_14.7,24.36375,54.10164,Vial,
95,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,95,UAE18095,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.5,20.8,0.096,UAE18095_ENNEVENT_16.5,24.36375,54.10164,Vial,
96,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,96,UAE18096,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,15.1,18.5,0.067,UAE18096_ENNEVENT_15.1,24.36375,54.10164,Vial,
97,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,97,UAE18097,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.5,24.1,0.137,UAE18097_ENNEVENT_19.5,24.36375,54.10164,Vial,
98,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,98,UAE18098,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.4,22.9,0.127,UAE18098_ENNEVENT_19.4,24.36375,54.10164,Vial,
99,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,99,UAE18099,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,15.2,18.3,0.053,UAE18099_ENNEVENT_15.2,24.36375,54.10164,Vial,
100,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,100,UAE18100,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.4,23.4,0.146,UAE18100_ENNEVENT_19.4,24.36375,54.10164,Vial,
101,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,101,UAE18101,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,15.4,18.3,0.069,UAE18101_ENNEVENT_15.4,24.36375,54.10164,Vial,
102,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,102,UAE18102,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.3,19.7,0.077,UAE18102_ENNEVENT_16.3,24.36375,54.10164,Vial,
103,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,103,UAE18103,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,15.3,19.8,0.072,UAE18103_ENNEVENT_15.3,24.36375,54.10164,Vial,
104,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,104,UAE18104,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16,21,0.078,UAE18104_ENNEVENT_16,24.36375,54.10164,Vial,
105,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,105,UAE18105,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16,18.9,0.078,UAE18105_ENNEVENT_16,24.36375,54.10164,Vial,
106,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,106,UAE18106,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,14.2,17.5,0.054,UAE18106_ENNEVENT_14.2,24.36375,54.10164,Vial,
107,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,107,UAE18107,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,14.3,18,0.049,UAE18107_ENNEVENT_14.3,24.36375,54.10164,Vial,
108,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,108,UAE18108,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,14.8,19,0.072,UAE18108_ENNEVENT_14.8,24.36375,54.10164,Vial,
109,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,109,UAE18109,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,14.3,17.4,0.056,UAE18109_ENNEVENT_14.3,24.36375,54.10164,Vial,
110,AbuDhabi,DhabiyaII,B4,Patchreef,28/04/18,4.2,305,UAE18,110,UAE18110,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,15.5,18.3,0.058,UAE18110_ENNEVENT_15.5,24.36375,54.10164,Vial,
