location,site,sitename,quadrat,point,category
AG,Dhabiya,DhabiyaI,3,14,livecoral_massive
AG,Dhabiya,DhabiyaI,3,15,livecoral_massive
AG,Dhabiya,DhabiyaI,3,16,livecoral_massive
AG,Dhabiya,DhabiyaI,4,1,livecoral_massive
AG,Dhabiya,DhabiyaI,4,2,turf
AG,Dhabiya,DhabiyaI,4,3,turf
AG,Dhabiya,DhabiyaI,4,4,unidentifiable
AG,Dhabiya,DhabiyaI,4,5,turf
AG,Dhabiya,DhabiyaI,4,6,sponge
AG,Dhabiya,DhabiyaI,4,7,rock
AG,Dhabiya,DhabiyaI,4,8,turf
AG,Dhabiya,DhabiyaI,4,9,rock
AG,Dhabiya,DhabiyaI,4,10,rock
AG,Dhabiya,DhabiyaI,4,11,livecoral_massive
AG,Dhabiya,DhabiyaI,4,12,turf
AG,Dhabiya,DhabiyaI,4,13,rock
AG,Dhabiya,DhabiyaI,4,14,livecoral_massive
AG,Dhabiya,DhabiyaI,4,15,turf
AG,Dhabiya,DhabiyaI,4,16,turf
AG,Dhabiya,DhabiyaI,5,1,livecoral_massive
AG,Dhabiya,DhabiyaI,5,2,unidentifiable
AG,Dhabiya,DhabiyaI,5,3,unidentifiable
AG,Dhabiya,DhabiyaI,5,4,livecoral_massive
AG,Dhabiya,DhabiyaI,5,5,unidentifiable
AG,Dhabiya,DhabiyaI,5,6,turf
AG,Dhabiya,DhabiyaI,5,7,turf
AG,Dhabiya,DhabiyaI,5,8,turf
AG,Dhabiya,DhabiyaI,5,9,livecoral_massive
AG,Dhabiya,DhabiyaI,5,10,livecoral_massive
AG,Dhabiya,DhabiyaI,5,11,turf
AG,Dhabiya,DhabiyaI,5,12,turf
AG,Dhabiya,DhabiyaI,5,13,turf
AG,Dhabiya,DhabiyaI,5,14,unidentifiable
AG,Dhabiya,DhabiyaI,5,15,turf
AG,Dhabiya,DhabiyaI,5,16,turf
AG,Dhabiya,DhabiyaII,1,1,turf
AG,Dhabiya,DhabiyaII,1,2,livecoral_massive
AG,Dhabiya,DhabiyaII,1,3,turf
AG,Dhabiya,DhabiyaII,1,4,turf
AG,Dhabiya,DhabiyaII,1,5,turf
AG,Dhabiya,DhabiyaII,1,6,turf
AG,Dhabiya,DhabiyaII,1,7,unidentifiable
AG,Dhabiya,DhabiyaII,1,8,turf
AG,Dhabiya,DhabiyaII,1,9,turf
AG,Dhabiya,DhabiyaII,1,10,turf
AG,Dhabiya,DhabiyaII,1,11,turf
AG,Dhabiya,DhabiyaII,1,12,turf
AG,Dhabiya,DhabiyaII,1,13,turf
AG,Dhabiya,DhabiyaII,1,14,turf
AG,Dhabiya,DhabiyaII,1,15,turf
AG,Dhabiya,DhabiyaII,1,16,unidentifiable
AG,Dhabiya,DhabiyaII,2,1,livecoral_massive
AG,Dhabiya,DhabiyaII,2,2,turf
AG,Dhabiya,DhabiyaII,2,3,urchin
AG,Dhabiya,DhabiyaII,2,4,urchin
AG,Dhabiya,DhabiyaII,2,5,livecoral_massive
AG,Dhabiya,DhabiyaII,2,6,turf
AG,Dhabiya,DhabiyaII,2,7,dead_coral
AG,Dhabiya,DhabiyaII,2,8,dead_coral
AG,Dhabiya,DhabiyaII,2,9,turf
AG,Dhabiya,DhabiyaII,2,10,turf
AG,Dhabiya,DhabiyaII,2,11,dead_coral
AG,Dhabiya,DhabiyaII,2,12,dead_coral
AG,Dhabiya,DhabiyaII,2,13,turf
AG,Dhabiya,DhabiyaII,2,14,dead_coral
AG,Dhabiya,DhabiyaII,2,15,dead_coral
AG,Dhabiya,DhabiyaII,2,16,dead_coral
AG,Dhabiya,DhabiyaII,3,1,turf
AG,Dhabiya,DhabiyaII,3,2,livecoral_massive
AG,Dhabiya,DhabiyaII,3,3,livecoral_massive
AG,Dhabiya,DhabiyaII,3,4,turf
AG,Dhabiya,DhabiyaII,3,5,livecoral_massive
AG,Dhabiya,DhabiyaII,3,6,livecoral_massive
AG,Dhabiya,DhabiyaII,3,7,livecoral_massive
AG,Dhabiya,DhabiyaII,3,8,livecoral_massive
AG,Dhabiya,DhabiyaII,3,9,unidentifiable
AG,Dhabiya,DhabiyaII,3,10,turf
AG,Dhabiya,DhabiyaII,3,11,livecoral_massive
AG,Dhabiya,DhabiyaII,3,12,livecoral_massive
AG,Dhabiya,DhabiyaII,3,13,turf
AG,Dhabiya,DhabiyaII,3,14,livecoral_massive
AG,Dhabiya,DhabiyaII,3,15,turf
AG,Dhabiya,DhabiyaII,3,16,cca
AG,Dhabiya,DhabiyaII,4,1,rock
AG,Dhabiya,DhabiyaII,4,2,unidentifiable
AG,Dhabiya,DhabiyaII,4,3,turf
AG,Dhabiya,DhabiyaII,4,4,turf
AG,Dhabiya,DhabiyaII,4,5,cca
AG,Dhabiya,DhabiyaII,4,6,unidentifiable
AG,Dhabiya,DhabiyaII,4,7,turf
AG,Dhabiya,DhabiyaII,4,8,cca
AG,Dhabiya,DhabiyaII,4,9,turf
AG,Dhabiya,DhabiyaII,4,10,turf
AG,Dhabiya,DhabiyaII,4,11,turf
AG,Dhabiya,DhabiyaII,4,12,cca
AG,Dhabiya,DhabiyaII,4,13,turf
AG,Dhabiya,DhabiyaII,4,14,cca
AG,Dhabiya,DhabiyaII,4,15,turf
AG,Dhabiya,DhabiyaII,4,16,cca
AG,Dhabiya,DhabiyaII,5,1,turf
AG,Dhabiya,DhabiyaII,5,2,turf
AG,Dhabiya,DhabiyaII,5,3,cca
AG,Dhabiya,DhabiyaII,5,4,unidentifiable
AG,Dhabiya,DhabiyaII,5,5,turf
AG,Dhabiya,DhabiyaII,5,6,turf
AG,Dhabiya,DhabiyaII,5,7,unidentifiable
AG,Dhabiya,DhabiyaII,5,8,turf
AG,Dhabiya,DhabiyaII,5,9,turf
AG,Dhabiya,DhabiyaII,5,10,cca
AG,Dhabiya,DhabiyaII,5,11,turf
AG,Dhabiya,DhabiyaII,5,12,turf
AG,Dhabiya,DhabiyaII,5,13,cca
AG,Dhabiya,DhabiyaII,5,14,turf
AG,Dhabiya,DhabiyaII,5,15,urchin
AG,Dhabiya,DhabiyaII,5,16,urchin
AG,Dhabiya,DhabiyaIII,1,1,cca
AG,Dhabiya,DhabiyaIII,1,2,urchin
AG,Dhabiya,DhabiyaIII,1,3,dead_coral
AG,Dhabiya,DhabiyaIII,1,4,dead_coral
AG,Dhabiya,DhabiyaIII,1,5,dead_coral
AG,Dhabiya,DhabiyaIII,1,6,urchin
AG,Dhabiya,DhabiyaIII,1,7,cca
AG,Dhabiya,DhabiyaIII,1,8,dead_coral
AG,Dhabiya,DhabiyaIII,1,9,cca
AG,Dhabiya,DhabiyaIII,1,10,cca
AG,Dhabiya,DhabiyaIII,1,11,cca
AG,Dhabiya,DhabiyaIII,1,12,dead_coral
AG,Dhabiya,DhabiyaIII,1,13,cca
AG,Dhabiya,DhabiyaIII,1,14,cca
AG,Dhabiya,DhabiyaIII,1,15,cca
AG,Dhabiya,DhabiyaIII,1,16,dead_coral
AG,Dhabiya,DhabiyaIII,2,1,urchin
AG,Dhabiya,DhabiyaIII,2,2,dead_coral
AG,Dhabiya,DhabiyaIII,2,3,dead_coral
AG,Dhabiya,DhabiyaIII,2,4,dead_coral
AG,Dhabiya,DhabiyaIII,2,5,dead_coral
AG,Dhabiya,DhabiyaIII,2,6,dead_coral
AG,Dhabiya,DhabiyaIII,2,7,dead_coral
AG,Dhabiya,DhabiyaIII,2,8,dead_coral
AG,Dhabiya,DhabiyaIII,2,9,dead_coral
AG,Dhabiya,DhabiyaIII,2,10,dead_coral
AG,Dhabiya,DhabiyaIII,2,11,livecoral_massive
AG,Dhabiya,DhabiyaIII,2,12,dead_coral
AG,Dhabiya,DhabiyaIII,2,13,dead_coral
AG,Dhabiya,DhabiyaIII,2,14,dead_coral
AG,Dhabiya,DhabiyaIII,2,15,dead_coral
AG,Dhabiya,DhabiyaIII,2,16,dead_coral
AG,Dhabiya,DhabiyaIII,3,1,dead_coral
AG,Dhabiya,DhabiyaIII,3,2,livecoral_massive
AG,Dhabiya,DhabiyaIII,3,3,livecoral_massive
AG,Dhabiya,DhabiyaIII,3,4,livecoral_massive
AG,Dhabiya,DhabiyaIII,3,5,turf
AG,Dhabiya,DhabiyaIII,3,6,dead_coral
AG,Dhabiya,DhabiyaIII,3,7,livecoral_massive
AG,Dhabiya,DhabiyaIII,3,8,dead_coral
AG,Dhabiya,DhabiyaIII,3,9,livecoral_massive
AG,Dhabiya,DhabiyaIII,3,10,livecoral_massive
AG,Dhabiya,DhabiyaIII,3,11,livecoral_massive
AG,Dhabiya,DhabiyaIII,3,12,livecoral_massive
AG,Dhabiya,DhabiyaIII,3,13,livecoral_massive
AG,Dhabiya,DhabiyaIII,3,14,livecoral_massive
AG,Dhabiya,DhabiyaIII,3,15,unidentifiable
AG,Dhabiya,DhabiyaIII,3,16,livecoral_massive
AG,Dhabiya,DhabiyaIII,4,1,livecoral_massive
AG,Dhabiya,DhabiyaIII,4,2,unidentifiable
AG,Dhabiya,DhabiyaIII,4,3,livecoral_massive
AG,Dhabiya,DhabiyaIII,4,4,cca
AG,Dhabiya,DhabiyaIII,4,5,cca
AG,Dhabiya,DhabiyaIII,4,6,livecoral_massive
AG,Dhabiya,DhabiyaIII,4,7,livecoral_massive
AG,Dhabiya,DhabiyaIII,4,8,cca
AG,Dhabiya,DhabiyaIII,4,9,unidentifiable
AG,Dhabiya,DhabiyaIII,4,10,cca
AG,Dhabiya,DhabiyaIII,4,11,cca
AG,Dhabiya,DhabiyaIII,4,12,cca
AG,Dhabiya,DhabiyaIII,4,13,unidentifiable
AG,Dhabiya,DhabiyaIII,4,14,cca
AG,Dhabiya,DhabiyaIII,4,15,cca
AG,Dhabiya,DhabiyaIII,4,16,cca
AG,Dhabiya,DhabiyaIII,5,1,dead_coral
AG,Dhabiya,DhabiyaIII,5,2,dead_coral
AG,Dhabiya,DhabiyaIII,5,3,cca
AG,Dhabiya,DhabiyaIII,5,4,dead_coral
AG,Dhabiya,DhabiyaIII,5,5,dead_coral
AG,Dhabiya,DhabiyaIII,5,6,dead_coral
AG,Dhabiya,DhabiyaIII,5,7,cca
AG,Dhabiya,DhabiyaIII,5,8,dead_coral
AG,Dhabiya,DhabiyaIII,5,9,cca
AG,Dhabiya,DhabiyaIII,5,10,cca
AG,Dhabiya,DhabiyaIII,5,11,dead_coral
AG,Dhabiya,DhabiyaIII,5,12,dead_coral
AG,Dhabiya,DhabiyaIII,5,13,cca
AG,Dhabiya,DhabiyaIII,5,14,dead_coral
AG,Dhabiya,DhabiyaIII,5,15,dead_coral
AG,Dhabiya,DhabiyaIII,5,16,dead_coral
AG,RasGhanada,RasGhanadaI,1,1,turf
AG,RasGhanada,RasGhanadaI,1,2,turf
AG,RasGhanada,RasGhanadaI,1,3,turf
AG,RasGhanada,RasGhanadaI,1,4,turf
AG,RasGhanada,RasGhanadaI,1,5,turf
AG,RasGhanada,RasGhanadaI,1,6,turf
AG,RasGhanada,RasGhanadaI,1,7,turf
AG,RasGhanada,RasGhanadaI,1,8,turf
AG,RasGhanada,RasGhanadaI,1,9,livecoral_massive
AG,RasGhanada,RasGhanadaI,1,10,livecoral_massive
AG,RasGhanada,RasGhanadaI,1,11,turf
AG,RasGhanada,RasGhanadaI,1,12,turf
AG,RasGhanada,RasGhanadaI,1,13,livecoral_massive
AG,RasGhanada,RasGhanadaI,1,14,livecoral_massive
AG,RasGhanada,RasGhanadaI,1,15,turf
AG,RasGhanada,RasGhanadaI,1,16,turf
AG,RasGhanada,RasGhanadaI,2,1,turf
AG,RasGhanada,RasGhanadaI,2,2,turf
AG,RasGhanada,RasGhanadaI,2,3,turf
AG,RasGhanada,RasGhanadaI,2,4,turf
AG,RasGhanada,RasGhanadaI,2,5,turf
AG,RasGhanada,RasGhanadaI,2,6,turf
AG,RasGhanada,RasGhanadaI,2,7,livecoral_massive
AG,RasGhanada,RasGhanadaI,2,8,livecoral_massive
AG,RasGhanada,RasGhanadaI,2,9,turf
AG,RasGhanada,RasGhanadaI,2,10,turf
AG,RasGhanada,RasGhanadaI,2,11,turf
AG,RasGhanada,RasGhanadaI,2,12,turf
AG,RasGhanada,RasGhanadaI,2,13,unidentifiable
AG,RasGhanada,RasGhanadaI,2,14,turf
AG,RasGhanada,RasGhanadaI,2,15,turf
AG,RasGhanada,RasGhanadaI,2,16,turf
AG,RasGhanada,RasGhanadaI,3,1,livecoral_massive
AG,RasGhanada,RasGhanadaI,3,2,turf
AG,RasGhanada,RasGhanadaI,3,3,turf
AG,RasGhanada,RasGhanadaI,3,4,turf
AG,RasGhanada,RasGhanadaI,3,5,livecoral_massive
AG,RasGhanada,RasGhanadaI,3,6,turf
AG,RasGhanada,RasGhanadaI,3,7,rock
AG,RasGhanada,RasGhanadaI,3,8,livecoral_massive
AG,RasGhanada,RasGhanadaI,3,9,livecoral_massive
AG,RasGhanada,RasGhanadaI,3,10,turf
AG,RasGhanada,RasGhanadaI,3,11,livecoral_massive
AG,RasGhanada,RasGhanadaI,3,12,livecoral_massive
AG,RasGhanada,RasGhanadaI,3,13,unidentifiable
AG,RasGhanada,RasGhanadaI,3,14,livecoral_massive
AG,RasGhanada,RasGhanadaI,3,15,livecoral_massive
AG,RasGhanada,RasGhanadaI,3,16,livecoral_massive
AG,RasGhanada,RasGhanadaI,4,1,turf
AG,RasGhanada,RasGhanadaI,4,2,turf
AG,RasGhanada,RasGhanadaI,4,3,turf
AG,RasGhanada,RasGhanadaI,4,4,turf
AG,RasGhanada,RasGhanadaI,4,5,turf
AG,RasGhanada,RasGhanadaI,4,6,turf
AG,RasGhanada,RasGhanadaI,4,7,turf
AG,RasGhanada,RasGhanadaI,4,8,turf
AG,RasGhanada,RasGhanadaI,4,9,turf
AG,RasGhanada,RasGhanadaI,4,10,turf
AG,RasGhanada,RasGhanadaI,4,11,turf
AG,RasGhanada,RasGhanadaI,4,12,turf
AG,RasGhanada,RasGhanadaI,4,13,livecoral_massive
AG,RasGhanada,RasGhanadaI,4,14,turf
AG,RasGhanada,RasGhanadaI,4,15,turf
AG,RasGhanada,RasGhanadaI,4,16,turf
AG,RasGhanada,RasGhanadaI,5,1,mollusc
AG,RasGhanada,RasGhanadaI,5,2,livecoral_massive
AG,RasGhanada,RasGhanadaI,5,3,turf
AG,RasGhanada,RasGhanadaI,5,4,turf
AG,RasGhanada,RasGhanadaI,5,5,turf
AG,RasGhanada,RasGhanadaI,5,6,turf
AG,RasGhanada,RasGhanadaI,5,7,turf
AG,RasGhanada,RasGhanadaI,5,8,livecoral_massive
AG,RasGhanada,RasGhanadaI,5,9,livecoral_massive
AG,RasGhanada,RasGhanadaI,5,10,turf
AG,RasGhanada,RasGhanadaI,5,11,turf
AG,RasGhanada,RasGhanadaI,5,12,livecoral_massive
AG,RasGhanada,RasGhanadaI,5,13,turf
AG,RasGhanada,RasGhanadaI,5,14,turf
AG,RasGhanada,RasGhanadaI,5,15,turf
AG,RasGhanada,RasGhanadaI,5,16,turf
AG,RasGhanada,RasGhanadaII,1,1,turf
AG,RasGhanada,RasGhanadaII,1,2,turf
AG,RasGhanada,RasGhanadaII,1,3,turf
AG,RasGhanada,RasGhanadaII,1,4,livecoral_massive
AG,RasGhanada,RasGhanadaII,1,5,turf
AG,RasGhanada,RasGhanadaII,1,6,turf
AG,RasGhanada,RasGhanadaII,1,7,turf
AG,RasGhanada,RasGhanadaII,1,8,turf
AG,RasGhanada,RasGhanadaII,1,9,turf
AG,RasGhanada,RasGhanadaII,1,10,turf
AG,RasGhanada,RasGhanadaII,1,11,dead_coral
AG,RasGhanada,RasGhanadaII,1,12,dead_coral
AG,RasGhanada,RasGhanadaII,1,13,unidentifiable
AG,RasGhanada,RasGhanadaII,1,14,unidentifiable
AG,RasGhanada,RasGhanadaII,1,15,unidentifiable
AG,RasGhanada,RasGhanadaII,1,16,livecoral_massive
AG,RasGhanada,RasGhanadaII,2,1,turf
AG,RasGhanada,RasGhanadaII,2,2,turf
AG,RasGhanada,RasGhanadaII,2,3,turf
AG,RasGhanada,RasGhanadaII,2,4,turf
AG,RasGhanada,RasGhanadaII,2,5,turf
AG,RasGhanada,RasGhanadaII,2,6,turf
AG,RasGhanada,RasGhanadaII,2,7,turf
AG,RasGhanada,RasGhanadaII,2,8,livecoral_massive
AG,RasGhanada,RasGhanadaII,2,9,turf
AG,RasGhanada,RasGhanadaII,2,10,turf
AG,RasGhanada,RasGhanadaII,2,11,turf
AG,RasGhanada,RasGhanadaII,2,12,turf
AG,RasGhanada,RasGhanadaII,2,13,turf
AG,RasGhanada,RasGhanadaII,2,14,turf
AG,RasGhanada,RasGhanadaII,2,15,turf
AG,RasGhanada,RasGhanadaII,2,16,livecoral_massive
AG,RasGhanada,RasGhanadaII,3,1,turf
AG,RasGhanada,RasGhanadaII,3,2,turf
AG,RasGhanada,RasGhanadaII,3,3,turf
AG,RasGhanada,RasGhanadaII,3,4,turf
AG,RasGhanada,RasGhanadaII,3,5,turf
AG,RasGhanada,RasGhanadaII,3,6,turf
AG,RasGhanada,RasGhanadaII,3,7,unidentifiable
AG,RasGhanada,RasGhanadaII,3,8,turf
AG,RasGhanada,RasGhanadaII,3,9,unidentifiable
AG,RasGhanada,RasGhanadaII,3,10,livecoral_massive
AG,RasGhanada,RasGhanadaII,3,11,livecoral_massive
AG,RasGhanada,RasGhanadaII,3,12,livecoral_massive
AG,RasGhanada,RasGhanadaII,3,13,unidentifiable
AG,RasGhanada,RasGhanadaII,3,14,turf
AG,RasGhanada,RasGhanadaII,3,15,livecoral_massive
AG,RasGhanada,RasGhanadaII,3,16,unidentifiable
AG,RasGhanada,RasGhanadaII,4,1,turf
AG,RasGhanada,RasGhanadaII,4,2,turf
AG,RasGhanada,RasGhanadaII,4,3,turf
AG,RasGhanada,RasGhanadaII,4,4,turf
AG,RasGhanada,RasGhanadaII,4,5,turf
AG,RasGhanada,RasGhanadaII,4,6,turf
AG,RasGhanada,RasGhanadaII,4,7,turf
AG,RasGhanada,RasGhanadaII,4,8,turf
AG,RasGhanada,RasGhanadaII,4,9,turf
AG,RasGhanada,RasGhanadaII,4,10,turf
AG,RasGhanada,RasGhanadaII,4,11,turf
AG,RasGhanada,RasGhanadaII,4,12,turf
AG,RasGhanada,RasGhanadaII,4,13,turf
AG,RasGhanada,RasGhanadaII,4,14,livecoral_massive
AG,RasGhanada,RasGhanadaII,4,15,turf
AG,RasGhanada,RasGhanadaII,4,16,turf
AG,RasGhanada,RasGhanadaII,5,1,turf
AG,RasGhanada,RasGhanadaII,5,2,turf
AG,RasGhanada,RasGhanadaII,5,3,livecoral_massive
AG,RasGhanada,RasGhanadaII,5,4,turf
AG,RasGhanada,RasGhanadaII,5,5,turf
AG,RasGhanada,RasGhanadaII,5,6,turf
AG,RasGhanada,RasGhanadaII,5,7,turf
AG,RasGhanada,RasGhanadaII,5,8,unidentifiable
AG,RasGhanada,RasGhanadaII,5,9,turf
AG,RasGhanada,RasGhanadaII,5,10,turf
AG,RasGhanada,RasGhanadaII,5,11,turf
AG,RasGhanada,RasGhanadaII,5,12,turf
AG,RasGhanada,RasGhanadaII,5,13,turf
AG,RasGhanada,RasGhanadaII,5,14,turf
AG,RasGhanada,RasGhanadaII,5,15,turf
AG,RasGhanada,RasGhanadaII,5,16,livecoral_massive
AG,RasGhanada,RasGhanadaIII,1,1,livecoral_massive
AG,RasGhanada,RasGhanadaIII,1,2,livecoral_massive
AG,RasGhanada,RasGhanadaIII,1,3,livecoral_massive
AG,RasGhanada,RasGhanadaIII,1,4,rock
AG,RasGhanada,RasGhanadaIII,1,5,livecoral_massive
AG,RasGhanada,RasGhanadaIII,1,6,turf
AG,RasGhanada,RasGhanadaIII,1,7,sponge
AG,RasGhanada,RasGhanadaIII,1,8,unidentifiable
AG,RasGhanada,RasGhanadaIII,1,9,livecoral_massive
AG,RasGhanada,RasGhanadaIII,1,10,turf
AG,RasGhanada,RasGhanadaIII,1,11,turf
AG,RasGhanada,RasGhanadaIII,1,12,turf
AG,RasGhanada,RasGhanadaIII,1,13,turf
AG,RasGhanada,RasGhanadaIII,1,14,turf
AG,RasGhanada,RasGhanadaIII,1,15,turf
AG,RasGhanada,RasGhanadaIII,1,16,turf
AG,RasGhanada,RasGhanadaIII,2,1,turf
AG,RasGhanada,RasGhanadaIII,2,2,turf
AG,RasGhanada,RasGhanadaIII,2,3,turf
AG,RasGhanada,RasGhanadaIII,2,4,turf
AG,RasGhanada,RasGhanadaIII,2,5,turf
AG,RasGhanada,RasGhanadaIII,2,6,cca
AG,RasGhanada,RasGhanadaIII,2,7,turf
AG,RasGhanada,RasGhanadaIII,2,8,turf
AG,RasGhanada,RasGhanadaIII,2,9,turf
AG,RasGhanada,RasGhanadaIII,2,10,turf
AG,RasGhanada,RasGhanadaIII,2,11,livecoral_massive
AG,RasGhanada,RasGhanadaIII,2,12,turf
AG,RasGhanada,RasGhanadaIII,2,13,turf
AG,RasGhanada,RasGhanadaIII,2,14,turf
AG,RasGhanada,RasGhanadaIII,2,15,turf
AG,RasGhanada,RasGhanadaIII,2,16,turf
AG,RasGhanada,RasGhanadaIII,3,1,rock
AG,RasGhanada,RasGhanadaIII,3,2,turf
AG,RasGhanada,RasGhanadaIII,3,3,turf
AG,RasGhanada,RasGhanadaIII,3,4,unidentifiable
AG,RasGhanada,RasGhanadaIII,3,5,turf
AG,RasGhanada,RasGhanadaIII,3,6,turf
AG,RasGhanada,RasGhanadaIII,3,7,turf
AG,RasGhanada,RasGhanadaIII,3,8,urchin
AG,RasGhanada,RasGhanadaIII,3,9,turf
AG,RasGhanada,RasGhanadaIII,3,10,turf
AG,RasGhanada,RasGhanadaIII,3,11,rock
AG,RasGhanada,RasGhanadaIII,3,12,rock
AG,RasGhanada,RasGhanadaIII,3,13,turf
AG,RasGhanada,RasGhanadaIII,3,14,rock
AG,RasGhanada,RasGhanadaIII,3,15,rock
AG,RasGhanada,RasGhanadaIII,3,16,livecoral_massive
AG,RasGhanada,RasGhanadaIII,4,1,turf
AG,RasGhanada,RasGhanadaIII,4,2,turf
AG,RasGhanada,RasGhanadaIII,4,3,turf
AG,RasGhanada,RasGhanadaIII,4,4,livecoral_massive
AG,RasGhanada,RasGhanadaIII,4,5,turf
AG,RasGhanada,RasGhanadaIII,4,6,turf
AG,RasGhanada,RasGhanadaIII,4,7,turf
AG,RasGhanada,RasGhanadaIII,4,8,turf
AG,RasGhanada,RasGhanadaIII,4,9,turf
AG,RasGhanada,RasGhanadaIII,4,10,turf
AG,RasGhanada,RasGhanadaIII,4,11,turf
AG,RasGhanada,RasGhanadaIII,4,12,turf
AG,RasGhanada,RasGhanadaIII,4,13,turf
AG,RasGhanada,RasGhanadaIII,4,14,sponge
AG,RasGhanada,RasGhanadaIII,4,15,sponge
AG,RasGhanada,RasGhanadaIII,4,16,turf
AG,RasGhanada,RasGhanadaIII,5,1,cca
AG,RasGhanada,RasGhanadaIII,5,2,livecoral_massive
AG,RasGhanada,RasGhanadaIII,5,3,livecoral_massive
AG,RasGhanada,RasGhanadaIII,5,4,rock
AG,RasGhanada,RasGhanadaIII,5,5,rock
AG,RasGhanada,RasGhanadaIII,5,6,turf
AG,RasGhanada,RasGhanadaIII,5,7,turf
AG,RasGhanada,RasGhanadaIII,5,8,unidentifiable
AG,RasGhanada,RasGhanadaIII,5,9,unidentifiable
AG,RasGhanada,RasGhanadaIII,5,10,turf
AG,RasGhanada,RasGhanadaIII,5,11,turf
AG,RasGhanada,RasGhanadaIII,5,12,cca
AG,RasGhanada,RasGhanadaIII,5,13,unidentifiable
AG,RasGhanada,RasGhanadaIII,5,14,turf
AG,RasGhanada,RasGhanadaIII,5,15,unidentifiable
AG,RasGhanada,RasGhanadaIII,5,16,cca
AG,Saadiyat,SaadiyatI,1,1,turf
AG,Saadiyat,SaadiyatI,1,2,turf
AG,Saadiyat,SaadiyatI,1,3,livecoral_massive
AG,Saadiyat,SaadiyatI,1,4,turf
AG,Saadiyat,SaadiyatI,1,5,livecoral_branching
AG,Saadiyat,SaadiyatI,1,6,livecoral_massive
AG,Saadiyat,SaadiyatI,1,7,turf
AG,Saadiyat,SaadiyatI,1,8,turf
AG,Saadiyat,SaadiyatI,1,9,turf
AG,Saadiyat,SaadiyatI,1,10,turf
AG,Saadiyat,SaadiyatI,1,11,turf
AG,Saadiyat,SaadiyatI,1,12,turf
AG,Saadiyat,SaadiyatI,1,13,turf
AG,Saadiyat,SaadiyatI,1,14,unidentifiable
AG,Saadiyat,SaadiyatI,1,15,unidentifiable
AG,Saadiyat,SaadiyatI,1,16,turf
AG,Saadiyat,SaadiyatI,2,1,turf
AG,Saadiyat,SaadiyatI,2,2,turf
AG,Saadiyat,SaadiyatI,2,3,livecoral_massive
AG,Saadiyat,SaadiyatI,2,4,livecoral_massive
AG,Saadiyat,SaadiyatI,2,5,turf
AG,Saadiyat,SaadiyatI,2,6,turf
AG,Saadiyat,SaadiyatI,2,7,sponge
AG,Saadiyat,SaadiyatI,2,8,turf
AG,Saadiyat,SaadiyatI,2,9,sponge
AG,Saadiyat,SaadiyatI,2,10,turf
AG,Saadiyat,SaadiyatI,2,11,livecoral_massive
AG,Saadiyat,SaadiyatI,2,12,turf
AG,Saadiyat,SaadiyatI,2,13,turf
AG,Saadiyat,SaadiyatI,2,14,turf
AG,Saadiyat,SaadiyatI,2,15,livecoral_massive
