"Location","Site","Sitename","Sitenumber","Habitat","Date","Depth","Dimension","Loc_abbrev","ID_number","ID","Family","Genus","Species","Tax","SL","TL","Full_ID","Lat","Long","Notes","Genspe","Kmax","Md","Weight","Growth","MortLoss"
"AG","Dhabiya","DhabiyaI","B1","Patchreef","26/04/18",6.1,260,"UAE18","11","UAE18011","Tripterygiidae","Enneapterygius","ventermaculus","ENNEVENT",18.6,23.1,"UAE18011_ENNEVENT_18.6",24.3655,54.1008,"Vial","Enn. ventermaculus",4.60833430290222,0.00457842049488567,0.129,0.00368185952586035,0.000589266260132726
"AG","Dhabiya","DhabiyaI","B1","Patchreef","26/04/18",6.1,260,"UAE18","12","UAE18012","Gobiidae","Coryogalops","anomalus","CORYANOM",17.8,22,"UAE18012_CORYANOM_17.8",24.3655,54.1008,"Vial","Cor. anomalus",1.5708065032959,0.00267081724921044,0.118,0.00250907810728519,0.000314735947217235
"AG","Dhabiya","DhabiyaI","B1","Patchreef","26/04/18",6.1,260,"UAE18","13","UAE18013","Batrachoididae","Colletteichthys","occidentalis","COLLOCCI",84.3,103.3,"UAE18013_COLLOCCI_84.3",24.3655,54.1008,"Comm","Col. occidentalis",0.296424672007561,0.000396421245692084,17.97,0.0187596253847241,0.00712227798065987
"AG","Dhabiya","DhabiyaI","B1","Patchreef","26/04/18",6.1,260,"UAE18","14","UAE18014","Tripterygiidae","Enneapterygius","ventermaculus","ENNEVENT",18.9,23.5,"UAE18014_ENNEVENT_18.9",24.3655,54.1008,"Vial","Enn. ventermaculus",4.60833430290222,0.00451723821635143,0.129,0.00353217353591273,0.000581409558511271
"AG","Dhabiya","DhabiyaI","B1","Patchreef","26/04/18",6.1,260,"UAE18","15","UAE18015","Apogonidae","Apogon","coccineus","APOGCOCC",37.4,48.3,"UAE18015_APOGCOCC_37.4",24.3655,54.1008,"Comm","Apo. coccineus",1.560826420784,0.00146448756437485,1.771,0.00574990561521034,0.00259170925031571
"AG","Dhabiya","DhabiyaI","B1","Patchreef","26/04/18",6.1,260,"UAE18","16","UAE18016","Tripterygiidae","Enneapterygius","ventermaculus","ENNEVENT",15.3,18.7,"UAE18016_ENNEVENT_15.3",24.3655,54.1008,"Vial","Enn. ventermaculus",4.60833430290222,0.00540791594140367,0.063,0.00281437176607151,0.000339779127742338
"AG","Dhabiya","DhabiyaI","B1","Patchreef","26/04/18",6.1,260,"UAE18","17","UAE18017","Pomacanthidae","Pomacanthus","maculosus","POMAMACU",43.4,55.7,"UAE18017_POMAMACU_43.4",24.3655,54.1008,"Comm","Pom. maculosus",0.176505871117115,0.000774335757123819,4.851,0.0549594117663028,0.00375484881334238
"AG","Dhabiya","DhabiyaI","B1","Patchreef","26/04/18",6.1,260,"UAE18","18","UAE18018","Gobiidae","Coryogalops","anomalus","CORYANOM",10.8,13.4,"UAE18018_CORYANOM_10.8",24.3655,54.1008,"Vial","Cor. anomalus",1.5708065032959,0.00396499258613718,0.026,0.00113268081528333,0.000102885701926653
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","19","UAE18019","Apogonidae","Fowleria","variegata","FOWLVARI",43.2,52.5,"UAE18019_FOWLVARI_43.2",24.599,54.4215,"Comm","Fow. variegata",1.06692051887512,0.00119363476247867,2.53,0.0121562112772724,0.00301809433957158
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","20","UAE18020","Apogonidae","Apogon","coccineus","APOGCOCC",40.8,50.2,"UAE18020_APOGCOCC_40.8",24.599,54.4215,"Comm","Apo. coccineus",1.560826420784,0.00142186288100256,2.06,0.00538889729234808,0.0029269561765768
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","21","UAE18021","Gobiidae","Callogobius","bifasciatus","CALLBIFA",26.8,32.9,"UAE18021_CALLBIFA_26.8",24.599,54.4215,"Comm","Cal. bifasciatus",1.33468115329742,0.00188073208660705,0.37,0.00459475532586106,0.000695216908746827
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","22","UAE18022","Tripterygiidae","Enneapterygius","ventermaculus","ENNEVENT",22.2,26.8,"UAE18022_ENNEVENT_22.2",24.599,54.4215,"Vial","Enn. ventermaculus",4.60833430290222,0.00407657186467591,0.18,0.00344796657295211,0.000732289306524676
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","23","UAE18023","Tripterygiidae","Enneapterygius","ventermaculus","ENNEVENT",19.9,24.1,"UAE18023_ENNEVENT_19.9",24.599,54.4215,"Vial","Enn. ventermaculus",4.60833430290222,0.00442895122297556,0.157,0.00403716496348157,0.00069380778746129
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","24","UAE18024","Tripterygiidae","Enneapterygius","ventermaculus","ENNEVENT",17.1,20.7,"UAE18024_ENNEVENT_17.1",24.599,54.4215,"Vial","Enn. ventermaculus",4.60833430290222,0.00499068561498223,0.089,0.00324573922841309,0.000443064502299544
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","25","UAE18025","Tripterygiidae","Enneapterygius","ventermaculus","ENNEVENT",16.3,20.1,"UAE18025_ENNEVENT_16.3",24.599,54.4215,"Vial","Enn. ventermaculus",4.60833430290222,0.00510781144403787,0.078,0.00302283111247574,0.000397393523051844
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","26","UAE18026","Tripterygiidae","Enneapterygius","ventermaculus","ENNEVENT",17.3,21.1,"UAE18026_ENNEVENT_17.3",24.599,54.4215,"Vial","Enn. ventermaculus",4.60833430290222,0.00491601092298384,0.101,0.00353696330075386,0.000495298658916118
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","27","UAE18027","Tripterygiidae","Enneapterygius","ventermaculus","ENNEVENT",17.8,21.5,"UAE18027_ENNEVENT_17.8",24.599,54.4215,"Vial","Enn. ventermaculus",4.60833430290222,0.00484389238992406,0.105,0.00353063841387703,0.00050737886456704
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","28","UAE18028","Tripterygiidae","Enneapterygius","ventermaculus","ENNEVENT",11.1,13.6,"UAE18028_ENNEVENT_11.1",24.599,54.4215,"Vial","Enn. ventermaculus",4.60833430290222,0.00697801620078939,0.023,0.00176934741901242,0.000159935706667328
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","29","UAE18029","Gobiidae","Coryogalops","anomalus","CORYANOM",10.9,12.8,"UAE18029_CORYANOM_10.9",24.599,54.4215,"Vial","Cor. anomalus",1.5708065032959,0.00411525866461798,0.024,0.0011102512458787,9.85632621911874e-05
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","30","UAE18030","Gobiidae","Coryogalops","anomalus","CORYANOM",9.3,10.3,"UAE18030_CORYANOM_9.3",24.599,54.4215,"Vial","Cor. anomalus",1.5708065032959,0.00491978848928407,0.011,0.000670500964263001,5.39847676741577e-05
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","31","UAE18031","Gobiidae","Coryogalops","anomalus","CORYANOM",8.1,10.5,"UAE18031_CORYANOM_8.1",24.599,54.4215,"Vial","Cor. anomalus",1.5708065032959,0.00484190138033888,0.009,0.000535640232878355,4.34717844471141e-05
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","32","UAE18032","Gobiidae","Coryogalops","anomalus","CORYANOM",17.3,21.2,"UAE18032_CORYANOM_17.3",24.599,54.4215,"Vial","Cor. anomalus",1.5708065032959,0.00274976206580892,0.088,0.00198578631206935,0.000241646674100926
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","33","UAE18033","Gobiidae","Coryogalops","anomalus","CORYANOM",26.1,31.8,"UAE18033_CORYANOM_26.1",24.599,54.4215,"Vial","Cor. anomalus",1.5708065032959,0.00200399025859842,0.39,0.00416078225771118,0.000780773608203494
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","34","UAE18034","Gobiidae","Coryogalops","anomalus","CORYANOM",23.9,29.2,"UAE18034_CORYANOM_23.9",24.599,54.4215,"Vial","Cor. anomalus",1.5708065032959,0.00214102536383007,0.273,0.00348908615823208,0.000583874656062046
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","35","UAE18035","Gobiidae","Coryogalops","anomalus","CORYANOM",25.1,30.8,"UAE18035_CORYANOM_25.1",24.599,54.4215,"Vial","Cor. anomalus",1.5708065032959,0.00205421759806482,0.296,0.00338576393588973,0.000607424304577975
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","36","UAE18036","Gobiidae","Coryogalops","anomalus","CORYANOM",27.7,33.6,"UAE18036_CORYANOM_27.7",24.599,54.4215,"Vial","Cor. anomalus",1.5708065032959,0.00192041656498569,0.456,0.00428616759346042,0.0008748696276943
"AG","Saadiyat","SaadiyatI","B2","Patchreef","27/04/18",6.4,250,"UAE18","37","UAE18037","Pomacanthidae","Pomacanthus","maculosus","POMAMACU",67.3,85,"UAE18037_POMAMACU_67.3",24.599,54.4215,"Voucher","Pom. maculosus",0.176505871117115,0.000561319777895342,17.6,0.121872642736254,0.00987645590661703
"AG","Saadiyat","SaadiyatII","B3","Patchreef","27/04/18",6.9,260,"UAE18","38","UAE18038","Serranidae","Cephalopholis","hemistiktos","CEPHHEMI",101,124.1,"UAE18038_CEPHHEMI_101",24.59819,54.42298,"Voucher","Cep. hemistiktos",0.215805523097515,0.000408898741735325,30.34,0.099097342807833,0.01240345177352
"AG","Saadiyat","SaadiyatII","B3","Patchreef","27/04/18",6.9,260,"UAE18","39","UAE18039","Batrachoididae","Colletteichthys","occidentalis","COLLOCCI",65.6,76,"UAE18039_COLLOCCI_65.6",24.59819,54.42298,"Comm","Col. occidentalis",0.296424672007561,0.000500342851875177,7.87,0.0179945619681533,0.00393671330894825
"AG","Saadiyat","SaadiyatII","B3","Patchreef","27/04/18",6.9,260,"UAE18","40","UAE18040","Batrachoididae","Colletteichthys","occidentalis","COLLOCCI",60.2,70.2,"UAE18040_COLLOCCI_60.2",24.59819,54.42298,"Comm","Col. occidentalis",0.296424672007561,0.000531476512251834,6.4,0.0171208760028188,0.00340054594321799
"AG","Saadiyat","SaadiyatII","B3","Patchreef","27/04/18",6.9,260,"UAE18","41","UAE18041","Apogonidae","Apogonichthyoides","taeniatus","APOGTAEN",71.7,90.7,"UAE18041_APOGTAEN_71.7",24.59819,54.42298,"Comm","Apo. taeniatus",0.262341946363449,0.000428479698784609,13.809,0.0272350831959876,0.00591560871089134
"AG","Saadiyat","SaadiyatII","B3","Patchreef","27/04/18",6.9,260,"UAE18","42","UAE18042","Pomacentridae","Pomacentrus","trichrourus","POMATRIC",44.8,57.2,"UAE18042_POMATRIC_44.8",24.59819,54.42298,"Comm","Pom. trichrourus",0.211108930408955,0.000439703682942598,4.16,0.00659678968265897,0.00182876523417235
"AG","Saadiyat","SaadiyatII","B3","Patchreef","27/04/18",6.9,260,"UAE18","43","UAE18043","Pomacanthidae","Pomacanthus","maculosus","POMAMACU",39.8,46.8,"UAE18043_POMAMACU_39.8",24.59819,54.42298,"UAE-jar","Pom. maculosus",0.176505871117115,0.000884648408899528,2.718,0.0374134720484189,0.00240341113172897
"AG","Saadiyat","SaadiyatII","B3","Patchreef","27/04/18",6.9,260,"UAE18","44","UAE18044","Pomacanthidae","Pomacanthus","maculosus","POMAMACU",37.4,44.8,"UAE18044_POMAMACU_37.4",24.59819,54.42298,"Comm","Pom. maculosus",0.176505871117115,0.000914774871838522,2.88,0.0416051953944405,0.00263334698743357
"AG","Saadiyat","SaadiyatII","B3","Patchreef","27/04/18",6.9,260,"UAE18","45","UAE18045","Gobiidae","Callogobius","bifasciatus","CALLBIFA",17.9,22.4,"UAE18045_CALLBIFA_17.9",24.59819,54.42298,"Vial","Cal. bifasciatus",1.33468115329742,0.00253722870567955,0.113,0.00265400399080013,0.000286343430743704
"AG","Saadiyat","SaadiyatII","B3","Patchreef","27/04/18",6.9,260,"UAE18","46","UAE18046","Tripterygiidae","Enneapterygius","ventermaculus","ENNEVENT",13.5,15.8,"UAE18046_ENNEVENT_13.5",24.59819,54.42298,"Vial","Enn. ventermaculus",4.60833430290222,0.00618462819064333,0.039,0.00235471666788604,0.000240456166994539
"AG","Saadiyat","SaadiyatII","B3","Patchreef","27/04/18",6.9,260,"UAE18","47","UAE18047","Gobiidae","Coryogalops","anomalus","CORYANOM",27.4,34.2,"UAE18047_CORYANOM_27.4",24.59819,54.42298,"UAE-jar","Cor. anomalus",1.5708065032959,0.00189432757291673,0.382,0.00344041961869257,0.000722948166341324
"AG","Saadiyat","SaadiyatII","B3","Patchreef","27/04/18",6.9,260,"UAE18","48","UAE18048","Gobiidae","Coryogalops","anomalus","CORYANOM",26.1,31.5,"UAE18048_CORYANOM_26.1",24.59819,54.42298,"Vial","Cor. anomalus",1.5708065032959,0.00201875569090013,0.393,0.00428150558206905,0.000792570714035513
"AG","Saadiyat","SaadiyatII","B3","Patchreef","27/04/18",6.9,260,"UAE18","49","UAE18049","Gobiidae","Coryogalops","anomalus","CORYANOM",24.8,31.2,"UAE18049_CORYANOM_24.8",24.59819,54.42298,"Vial","Cor. anomalus",1.5708065032959,0.00203377749014026,0.331,0.00368222137128916,0.000672496263553811
"AG","Saadiyat","SaadiyatII","B3","Patchreef","27/04/18",6.9,260,"UAE18","50","UAE18050","Gobiidae","Coryogalops","anomalus","CORYANOM",24.6,29.7,"UAE18050_CORYANOM_24.6",24.59819,54.42298,"Vial","Cor. anomalus",1.5708065032959,0.00211298892581401,0.301,0.00371598085346049,0.000635338198996664
"AG","Saadiyat","SaadiyatII","B3","Patchreef","27/04/18",6.9,260,"UAE18","51","UAE18051","Gobiidae","Coryogalops","anomalus","CORYANOM",23.5,29.3,"UAE18051_CORYANOM_23.5",24.59819,54.42298,"Vial","Cor. anomalus",1.5708065032959,0.00213534875841965,0.295,0.00374423456152462,0.000629255804331325
"AG","Saadiyat","SaadiyatII","B3","Patchreef","27/04/18",6.9,260,"UAE18","52","UAE18052","Gobiidae","Coryogalops","anomalus","CORYANOM",23.4,27.4,"UAE18052_CORYANOM_23.4",24.59819,54.42298,"Vial","Cor. anomalus",1.5708065032959,0.00224960204594061,0.237,0.0034316436608413,0.00053255644026636
"AG","Saadiyat","SaadiyatII","B3","Patchreef","27/04/18",6.9,260,"UAE18","53","UAE18053","Gobiidae","Coryogalops","anomalus","CORYANOM",18.4,22.4,"UAE18053_CORYANOM_18.4",24.59819,54.42298,"Vial","Cor. anomalus",1.5708065032959,0.00263328771752445,0.105,0.00216798277974539,0.000276131483954847
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","54","UAE18054","Bythitidae","Dinematichthys","iluocoeteoides","DINEILUO",92.1,102.8,"UAE18054_DINEILUO_92.1",24.36375,54.10164,"Comm","Din. iluocoeteoides",0.40650486946106,0.000448091935174453,12.52,0.00680741818529331,0.00560885429334858
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","55","UAE18055","Blenniidae","Ecsenius","pulcher","ECSEPULC",57.4,75,"UAE18055_ECSEPULC_57.4",24.36375,54.10164,"Comm-BYCATCH","Ecs. pulcher",0.307456985116005,0.000457479025961368,2.685,0.00315748919794708,0.00122805025966999
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","56","UAE18056","Pomacanthidae","Pomacanthus","maculosus","POMAMACU",28.7,35.9,"UAE18056_POMAMACU_28.7",24.36375,54.10164,"Comm","Pom. maculosus",0.176505871117115,0.00108467776862892,1.416,0.0260597267507726,0.00153507104115853
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","57","UAE18057","Apogonidae","Apogon","coccineus","APOGCOCC",41.9,53.2,"UAE18057_APOGCOCC_41.9",24.36375,54.10164,"UAE-jar","Apo. coccineus",1.560826420784,0.00136012450904681,2.32,0.00397248373497798,0.00315334390469898
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","58","UAE18058","Blenniidae","Omobranchus","spA","OMOBSPA",32.8,39.6,"UAE18058_OMOBSPA_32.8",24.36375,54.10164,"Vial","Omo. spA",1.21281635761261,0.00151456486565501,0.49,0.00349575390794669,0.000741575060646227
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","59","UAE18059","Batrachoididae","Colletteichthys","occidentalis","COLLSPA",19,22.8,"UAE18059_COLLSPA_19",24.36375,54.10164,"Vial","Col. occidentalis",0.296424672007561,0.0012639249209892,0.214,0.00289215320367689,0.000270309071920472
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","60","UAE18060","Apogonidae","Cheilodipterus","novemstriatus","CHEINOVE",23.5,30.1,"UAE18060_CHEINOVE_23.5",24.36375,54.10164,"Vial","Che. novemstriatus",1.02358621358871,0.00178248030436328,0.296,0.00433303378209585,0.000527144218426279
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","61","UAE18061","Apogonidae","Cheilodipterus","novemstriatus","CHEINOVE",27.4,31.7,"UAE18061_CHEINOVE_27.4",24.36375,54.10164,"Vial","Che. novemstriatus",1.02358621358871,0.00171234275234138,0.311,0.00418254325097515,0.00053208291180852
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","62","UAE18062","Gobiidae","Coryogalops","anomalus","CORYANOM",22.5,28.6,"UAE18062_CORYANOM_22.5",24.36375,54.10164,"Vial","Cor. anomalus",1.5708065032959,0.00217583937617757,0.26,0.00346395181688418,0.000565103227932453
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","63","UAE18063","Gobiidae","Coryogalops","anomalus","CORYANOM",32.5,40.3,"UAE18063_CORYANOM_32.5",24.36375,54.10164,"Vial","Cor. anomalus",1.5708065032959,0.00166922250234467,0.595,0.00337833648571618,0.00099235892455365
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","64","UAE18064","Gobiidae","Coryogalops","anomalus","CORYANOM",26.7,33.2,"UAE18064_CORYANOM_26.7",24.36375,54.10164,"Vial","Cor. anomalus",1.5708065032959,0.00193828100485726,0.385,0.00372277613401579,0.000745515444253534
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","65","UAE18065","Gobiidae","Coryogalops","anomalus","CORYANOM",22.8,27.9,"UAE18065_CORYANOM_22.8",24.36375,54.10164,"Vial","Cor. anomalus",1.5708065032959,0.00221816798843799,0.254,0.00355228808716534,0.000562790256640884
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","66","UAE18066","Gobiidae","Coryogalops","anomalus","CORYANOM",24.8,29.7,"UAE18066_CORYANOM_24.8",24.36375,54.10164,"Vial","Cor. anomalus",1.5708065032959,0.00211298892581401,0.335,0.00413572619903411,0.000707103975627516
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","67","UAE18067","Gobiidae","Coryogalops","anomalus","CORYANOM",31.3,39.6,"UAE18067_CORYANOM_31.3",24.36375,54.10164,"Vial","Cor. anomalus",1.5708065032959,0.00169187457868443,0.587,0.00352635461535471,0.00099229072526373
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","68","UAE18068","Gobiidae","Coryogalops","anomalus","CORYANOM",28,32.9,"UAE18068_CORYANOM_28",24.36375,54.10164,"Vial","Cor. anomalus",1.5708065032959,0.00195193625727565,0.42,0.00414810227348566,0.000819013636808752
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","69","UAE18069","Gobiidae","Coryogalops","anomalus","CORYANOM",24.2,30.8,"UAE18069_CORYANOM_24.2",24.36375,54.10164,"Vial","Cor. anomalus",1.5708065032959,0.00205421759806482,0.38,0.0043465888366152,0.000779801472093347
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","70","UAE18070","Gobiidae","Coryogalops","anomalus","CORYANOM",24,29.8,"UAE18070_CORYANOM_24",24.36375,54.10164,"Vial","Cor. anomalus",1.5708065032959,0.00210748395875382,0.308,0.00377614195903712,0.000648421550291903
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","71","UAE18071","Gobiidae","Coryogalops","anomalus","CORYANOM",26,31.9,"UAE18071_CORYANOM_26",24.36375,54.10164,"Vial","Cor. anomalus",1.5708065032959,0.0019991242342552,0.403,0.00426953329966738,0.000804842308477167
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","72","UAE18072","Gobiidae","Coryogalops","anomalus","CORYANOM",22.5,28.4,"UAE18072_CORYANOM_22.5",24.36375,54.10164,"Vial","Cor. anomalus",1.5708065032959,0.00218774007034443,0.256,0.003458256418611,0.000559449270078801
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","73","UAE18073","Gobiidae","Coryogalops","anomalus","CORYANOM",23.4,28.5,"UAE18073_CORYANOM_23.4",24.36375,54.10164,"Vial","Cor. anomalus",1.5708065032959,0.00218177079032412,0.258,0.00346120515194973,0.000562283254268786
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","74","UAE18074","Gobiidae","Coryogalops","anomalus","CORYANOM",20.5,25.9,"UAE18074_CORYANOM_20.5",24.36375,54.10164,"Vial","Cor. anomalus",1.5708065032959,0.00235049392544986,0.177,0.00284570777104563,0.000415548860948503
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","75","UAE18075","Gobiidae","Coryogalops","anomalus","CORYANOM",23,27.3,"UAE18075_CORYANOM_23",24.36375,54.10164,"Vial","Cor. anomalus",1.5708065032959,0.00225601421666424,0.192,0.00279946088564176,0.000432666495209119
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","76","UAE18076","Gobiidae","Coryogalops","anomalus","CORYANOM",10.4,12.2,"UAE18076_CORYANOM_10.4",24.36375,54.10164,"Vial","Cor. anomalus",1.5708065032959,0.00427952065142458,0.022,0.00108298966859971,9.39482841372543e-05
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","77","UAE18077","Tripterygiidae","Enneapterygius","ventermaculus","ENNEVENT",18.9,23.9,"UAE18077_ENNEVENT_18.9",24.36375,54.10164,"Vial","Enn. ventermaculus",4.60833430290222,0.00445793026423591,0.151,0.00396533769527667,0.000671649274770381
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","78","UAE18078","Tripterygiidae","Enneapterygius","ventermaculus","ENNEVENT",19.8,23.8,"UAE18078_ENNEVENT_19.8",24.36375,54.10164,"Vial","Enn. ventermaculus",4.60833430290222,0.00447258648357466,0.14,0.00371519051864249,0.000624763910906137
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","79","UAE18079","Gobiidae","Coryogalops","anomalus","CORYANOM",19.9,23.4,"UAE18079_CORYANOM_19.9",24.36375,54.10164,"Vial","Cor. anomalus",1.5708065032959,0.0025446182037376,0.159,0.00305292063623482,0.00040407996174353
"AG","Dhabiya","DhabiyaII","B4","Patchreef","28/04/18",4.2,305,"UAE18","80","UAE18080","Tripterygiidae","Enneapterygius","ventermaculus","ENNEVENT",18.7,23.5,"UAE18080_ENNEVENT_18.7",24.36375,54.10164,"Vial","Enn. ventermaculus",4.60833430290222,0.00451723821635143,0.131,0.00358693591631448,0.000590423660193616
